사찰명,소재지 도로명주소,소재지 지번주소,위도,경도,교통편,주변 관광지,홈페이지,관리기관 전화번호,관리기관명,데이터기준일자
칠장사,경기도 안성시 죽산면 칠장로 399-18,경기도 안성시 죽산면 칠장리 764,37.02632246,127.3967899,"안성종합버스터미널 (37, 370, 380번) 버스 → 죽산터미널 3-2번 버스 → 칠장사(칠장사 앞 하루 4회 버스운행)","서일농원, 죽주산성, 죽산성지, 흔들바위, 구메농사마을, 안성내츄럴리조트, 칠현산, 죽산향교, 용설호수, 매산리석불입상(태평미륵), 영창대군묘",http://chiljangsa.org/,031-678-2495,안성시청,2021-03-15
청룡사,경기도 안성시 서운면 청룡길 140,경기도 안성시 서운면 청용리 28,36.91387461,127.2887697,안성종합버스터미널 → 서운면 20번 버스 → 청룡사 하차,"청룡호수, 서운산, 바우덕이 묘, 바우덕이 사당, 포도박물관, 인처골마을, 이덕남장군묘, 홍계남장군고루비",http://www.cheongryongsa.or.kr/,031-678-2495,안성시청,2021-03-15
석남사,경기도 안성시 금광면 상촌새말길 3-120,경기도 안성시 금광면 상중리 508,36.93979202,127.3071204,안성시내 알파문구 앞 버스정류소 100번 버스 → 상중리상촌 하차(도보 15분),"서운산, 금광호수, 안성문화마을, 안성향교, 안성성당, 안성마춤유기공방",,031-678-2495,안성시청,2021-03-15
청원사,경기도 안성시 원곡면 통심길 16-102,경기도 안성시 원곡면 성은리 397,37.07135384,127.1737225,"안성종합버스터미널 22-1, 60번 버스 → 양성터미널 7-6번 버스 → 성은리 하차","안성3.1운동 기념관, 고성산, 운수암, 덕봉서원, 정무공오정방고택,양성향교, 선비마을",,031-678-2495,안성시청,2021-03-15
운수암,경기도 안성시 양성면 성하길 80-63,경기도 안성시 양성면 방신리 84,37.03619982,127.1697191,"안성종합버스터미널 → 양성면 7, 7-2, 7-5 버스 → 방신리 하차 ","양성향교, 덕봉서원, 정무공오정방고택, 선비마을, 안성3.1운동기념관, 고성산, 청원사",,031-678-2495,안성시청,2021-03-15
