구,업종명,사업장명,인허가일자,영업상태,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지지번주소,소재지도로명주소,데이터기준일자
수정구,제과점영업,아몬드제과,2006-01-17,영업중,-,-,-,-,38.76,경기도 성남시 수정구 수진동 3937번지 2층,"경기도 성남시 수정구 성남대로1194번길 7 (수진동,2층)",2021-03-31
수정구,제과점영업,(주)신세계푸드 베이커리 성남점,2013-11-07,영업중,-,-,-,-,2,"경기도 성남시 수정구 태평동 7336번지 신세계쉐덴,지하2층(일부)","경기도 성남시 수정구 수정로 201, 지하2(일부)층 (태평동, 신세계쉐덴)",2021-03-31
수정구,제과점영업,보아스베이커리 카페,2013-11-21,영업중,-,-,-,-,37.12,경기도 성남시 수정구 산성동 1030번지 1층,"경기도 성남시 수정구 희망로534번길 47-1, 1층 (산성동)",2021-03-31
분당구,제과점영업,베이커리(BAKERY) 홈플러스익스프레스 푸른마을점,2013-11-22,영업중,-,-,-,-,4,경기도 성남시 분당구 수내동 83-3 돌마소매시장 107호 일부,"경기도 성남시 분당구 불정로 255 (수내동, 돌마소매시장 107호 일부)",2021-03-31
분당구,제과점영업,뚜레쥬르판교우림점,2014-02-19,영업중,-,-,-,-,47.5,경기도 성남시 분당구 삼평동 618번지 1층 121호,"경기도 성남시 분당구 판교로255번길 9-22 (삼평동, 1층 121호)",2021-03-31
중원구,제과점영업,잘만진빵,2014-04-22,영업중,-,-,-,-,30,경기도 성남시 중원구 상대원동 3765번지,경기도 성남시 중원구 희망로353번길 6 (상대원동),2021-03-31
중원구,제과점영업,파리바게뜨 성남동점,2009-06-25,영업중,-,-,-,-,45.24,경기도 성남시 중원구 성남동 3790번지 (1층),"경기도 성남시 중원구 둔촌대로 163, 1층 (성남동)",2021-03-31
분당구,제과점영업,던킨도너츠,2009-08-07,영업중,-,-,-,-,41.33,경기도 성남시 분당구 정자동 6번지 파크뷰 1층 상가113호,"경기도 성남시 분당구 정자일로 248 (정자동,  파크뷰 1층 상가113호)",2021-03-31
분당구,제과점영업,그래인스쿠키,2009-08-11,영업중,-,-,-,-,6.9,경기도 성남시 분당구 서현동 263번지 AK플라자 지하1층일부,"경기도 성남시 분당구 황새울로360번길 42 (서현동, AK플라자 지하1층일부)",2021-03-31
중원구,제과점영업,짐앤델라,2009-08-19,영업중,-,-,-,-,47.53,경기도 성남시 중원구 성남동 1315번지 성남지하상가 F동14호,,2021-03-31
분당구,제과점영업,뚜레쥬르,2009-08-24,영업중,-,-,-,-,86.95,경기도 성남시 분당구 수내동 20-2 초림프라자 110호,"경기도 성남시 분당구 백현로101번길 17 (수내동,초림프라자 110호)",2021-03-31
중원구,제과점영업,떡보의하루,2009-09-09,영업중,-,-,-,-,21.87,경기도 성남시 중원구 금광동 4541번지 (1층),"경기도 성남시 중원구 산성대로 412-1, 1층 (금광동)",2021-03-31
분당구,제과점영업,오디너리 벗 써니컵케이크,2010-04-07,영업중,-,-,-,-,58.73,경기도 성남시 분당구 백현동 531번지 알파리움1단지,"경기도 성남시 분당구 대왕판교로606번길 10, 1층 111호 (백현동, 알파리움1단지)",2021-03-31
분당구,제과점영업,파리바게뜨 양지마을점,2010-04-19,영업중,-,-,-,-,105.19,"경기도 성남시 분당구 수내동 33-1번지 크리스탈빌딩 1층 114,115호","경기도 성남시 분당구 내정로165번길 50 (수내동,크리스탈빌딩 1층 114,115호)",2021-03-31
중원구,제과점영업,언니의 식빵가게,2016-09-27,영업중,-,-,-,-,23.5,"경기도 성남시 중원구 여수동 205번지 신야탑 푸르지오시티1 , 1층 117호","경기도 성남시 중원구 양현로405번길 5, 1층 117호 (여수동, 신야탑 푸르지오시티1)",2021-03-31
분당구,제과점영업,앤티앤스(Auntie Anne's),2011-05-26,영업중,-,-,-,-,8.18,경기도 성남시 분당구 서현동 263번지 AK프라자 지하1층 일부,"경기도 성남시 분당구 황새울로360번길 42 (서현동, AK프라자 지하1층 일부)",2021-03-31
분당구,제과점영업,파리바게뜨 분당매송점,2011-06-14,영업중,-,-,-,-,109.93,경기도 성남시 분당구 이매동 137-5번지 1층 일부,"경기도 성남시 분당구 성남대로779번길 50 (이매동,1층 일부)",2021-03-31
분당구,제과점영업,(주)현대그린푸드베즐리 판교점,2015-08-18,영업중,-,-,-,-,167.64,경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교복합몰 지하1층 일부)",2021-03-31
분당구,제과점영업,김범신 떡오색함,2015-02-03,영업중,-,-,-,-,32.24,경기도 성남시 분당구 수내동 53번지 파크타운 주상복합상가 지하 220호,"경기도 성남시 분당구 내정로174번길 42 (수내동, 파크타운 주상복합상가 지하 220호)",2021-03-31
분당구,제과점영업,자연드림 판교점,2015-03-06,영업중,-,-,-,-,3.74,경기도 성남시 분당구 판교동 619-10번지,"경기도 성남시 분당구 운중로243번길 3-8, 1(일부)층 (판교동)",2021-03-31
분당구,제과점영업,자연드림 서현점,2013-10-04,영업중,-,-,-,-,2.2,경기도 성남시 분당구 서현동 93번지 현대카스빌딩 115호 일부,"경기도 성남시 분당구 중앙공원로40번길 4, 현대카스빌딩 1층 115(일부)호 (서현동)",2021-03-31
수정구,제과점영업,머핀하우스(Muffin house),2017-09-15,영업중,-,-,-,-,20.94,경기도 성남시 수정구 태평동 3786-1번지 1층일부호,"경기도 성남시 수정구 남문로60번길 1, 1층 일부호 (태평동)",2021-03-31
분당구,제과점영업,또아식빵 분당서현점,2017-11-01,영업중,-,-,-,-,27.35,경기도 성남시 분당구 서현동 268-4번지 서현프라자 1층 105호,"경기도 성남시 분당구 분당로53번길 14, 1층 105호 (서현동, 서현프라자 )",2021-03-31
수정구,제과점영업,올바른 빵집,2012-02-17,영업중,-,-,-,-,24.64,경기도 성남시 수정구 양지동 856번지 1층,"경기도 성남시 수정구 산성대로 491, 1층 (양지동)",2021-03-31
수정구,제과점영업,바오밥,2006-03-15,영업중,-,-,-,-,29.56,경기도 성남시 수정구 수진동 4541번지,경기도 성남시 수정구 모란로 68 (수진동),2021-03-31
중원구,제과점영업,오빠떡,2017-11-13,영업중,-,-,-,-,64.9,경기도 성남시 중원구 금광동 1798번지 1층일부,"경기도 성남시 중원구 광명로 372, 1층 (금광동)",2021-03-31
분당구,제과점영업,마음제빵소,2017-11-27,영업중,-,-,-,-,42.57,경기도 성남시 분당구 수내동 19-4번지 대덕프라자 1층 117호 전부,"경기도 성남시 분당구 백현로101번길 16 (수내동, 대덕프라자 1층 117호 전부)",2021-03-31
분당구,제과점영업,어메이징테이블(Amazing Table),2017-11-27,영업중,-,-,-,-,14.58,경기도 성남시 분당구 서현동 94번지 현대근린상가 131호 전부,"경기도 성남시 분당구 중앙공원로40번길 8 (서현동, 현대근린상가 131호 전부)",2021-03-31
분당구,제과점영업,브로테나인,2012-05-30,영업중,-,-,-,-,48.52,경기도 성남시 분당구 판교동 601-6번지 지하1층,"경기도 성남시 분당구 운중로267번길 7-10 (판교동, 지하1층)",2021-03-31
