구,업종명,사업장명,인허가일자,영업상태,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지지번주소,소재지도로명주소,데이터기준일자
분당구,제과점영업,고방,2017-07-31,영업중,-,-,-,-,25.84,경기도 성남시 분당구 야탑동 174-2번지 1층 일부,"경기도 성남시 분당구 야탑로 235 (야탑동, 1층 일부)",2021-03-31
분당구,제과점영업,삼송빵집,2015-08-17,영업중,-,-,-,-,82.17,경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교복합몰 지하1층 일부)",2021-03-31
분당구,제과점영업,김범신 떡오색함,2015-02-03,영업중,-,-,-,-,13,"경기도 성남시 분당구 수내동 53 파크타운서안아파트 주상복합상가동 지하층 지64,65호","경기도 성남시 분당구 내정로174번길 42, 주상복합상가동 지하층 지64,65호 (수내동, 파크타운서안아파트)",2021-03-31
분당구,제과점영업,보드레빵,2012-11-19,영업중,-,-,-,-,41.8,경기도 성남시 분당구 금곡동 161번지 천사의도시오피스텔 1층 112호,"경기도 성남시 분당구 성남대로 165 (금곡동, 천사의도시오피스텔 1층 112호)",2021-03-31
수정구,제과점영업,몽뼤르 과자점,2016-09-28,영업중,-,-,-,-,55.32,"경기도 성남시 수정구 단대동 95-9번지 1,2층","경기도 성남시 수정구 산성대로437번길 2, 1,2층 (단대동)",2021-03-31
분당구,제과점영업,코코호도 야탑점,2017-05-15,영업중,-,-,-,-,36.72,경기도 성남시 분당구 야탑동 532-5번지 굿모닝프라자 1층 103호,"경기도 성남시 분당구 판교로 475 (야탑동, 굿모닝프라자 1층 103호)",2021-03-31
분당구,제과점영업,메이크어케이크,2017-05-16,영업중,-,-,-,-,103.61,경기도 성남시 분당구 백현동 588-1번지 1층 전체,"경기도 성남시 분당구 동판교로52번길 21-6 (백현동, 1층 전체)",2021-03-31
분당구,제과점영업,메이크어케이크 아브뉴프랑판교점,2017-05-16,영업중,-,-,-,-,84.72,경기도 성남시 분당구 삼평동 740번지 판교호반써밋플레이스 1층 151호,"경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교호반써밋플레이스 1층 151호)",2021-03-31
분당구,제과점영업,브래드팩토리망캄,2017-05-18,영업중,-,-,-,-,434.93,경기도 성남시 분당구 서현동 30-3번지 1층 일부,"경기도 성남시 분당구 새마을로 107 (서현동, 1층 일부)",2021-03-31
분당구,제과점영업,뚜레쥬르 분당킴스점,2017-05-18,영업중,-,-,-,-,71.19,경기도 성남시 분당구 구미동 11-1번지 2001아울렛 지하 1층 일부,"경기도 성남시 분당구 미금일로154번길 20 (구미동, 2001아울렛 지하 1층 일부)",2021-03-31
분당구,제과점영업,그래인스쿠키,2017-06-05,영업중,-,-,-,-,6.72,경기도 성남시 분당구 백현동 541번지 현대백화점 판교점 지하1층 식품관 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교점 지하1층 식품관 일부)",2021-03-31
분당구,제과점영업,더크로아상랩정자,2017-06-12,영업중,-,-,-,-,19.8,경기도 성남시 분당구 정자동 15-1 폴라리스빌딩2 104호 일부,"경기도 성남시 분당구 성남대로 389, 폴라리스빌딩2 104일부호 (정자동)",2021-03-31
분당구,제과점영업,파네테리아,2017-03-16,영업중,-,-,-,-,39.53,경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 9층 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교복합몰 9층 일부)",2021-03-31
수정구,제과점영업,파리바게뜨 위례아트리버,2017-03-24,영업중,-,-,-,-,60.75,경기도 성남시 수정구 창곡동 529번지 아트리버 푸르지오 1층 104호,"경기도 성남시 수정구 위례순환로 130, 1층 104호 (창곡동, 아트리버 푸르지오)",2021-03-31
분당구,제과점영업,라롬드뺑 분당점,2017-04-11,영업중,-,-,-,-,62.64,경기도 성남시 분당구 서현동 263 AK플라자 지하1층 일부,"경기도 성남시 분당구 황새울로360번길 42 (서현동, AK플라자 지하1층 일부)",2021-03-31
분당구,제과점영업,롤링핀 야탑점,2018-04-04,영업중,-,-,-,-,117.5,경기도 성남시 분당구 야탑동 355-6 1층 일부,"경기도 성남시 분당구 야탑로69번길 2, 1(일부)층 (야탑동)",2021-03-31
분당구,제과점영업,프랑제리 2001 분당점,2018-08-13,영업중,-,-,-,-,62.02,경기도 성남시 분당구 구미동 11-4 2001아울렛 지하2층 일부,"경기도 성남시 분당구 미금일로154번길 20, 2001아울렛 지하2층 일부호 (구미동)",2021-03-31
중원구,제과점영업,달링디저트,2018-08-27,영업중,-,-,-,-,28.01,경기도 성남시 중원구 성남동 2553,"경기도 성남시 중원구 원터로99번길 2, 일부1층 (성남동)",2021-03-31
분당구,제과점영업,와플대학 분당정자 캠퍼스,2018-09-03,영업중,-,-,-,-,37.55,경기도 성남시 분당구 정자동 15-1번지 폴라리스빌딩2 112호,"경기도 성남시 분당구 성남대로 389, 폴라리스빌딩2 1층 112호 (정자동)",2021-03-31
중원구,제과점영업,김석기꾸앤빵,2020-05-29,영업중,-,-,-,-,,경기도 성남시 중원구 상대원동 1544번지 1층 일부,"경기도 성남시 중원구 박석로25번길 22, 1층 일부호 (상대원동)",2021-03-31
분당구,제과점영업,파파도나스분당수내역점,2020-06-11,영업중,-,-,-,-,,경기도 성남시 분당구 수내동 20-5번지 109호,"경기도 성남시 분당구 백현로101번길 13, 1층 109호 (수내동)",2021-03-31
분당구,제과점영업,빵굽는 작은마을,2012-09-06,영업중,-,-,-,-,72.38,경기도 성남시 분당구 금곡동 133-1번지,"경기도 성남시 분당구 미금로 232, 1층 101-1호 (금곡동)",2021-03-31
분당구,제과점영업,벗얼라이브랩,2020-04-09,영업중,-,-,-,-,49.06,경기도 성남시 분당구 판교동 625번지 리버스토리(113호 일부),"경기도 성남시 분당구 운중로 242, 리버스토리 1층 113 일부호 (판교동)",2021-03-31
수정구,제과점영업,빵 공작소,2020-04-27,영업중,-,-,-,-,34,"경기도 성남시 수정구 창곡동 536 위례리버스토리, 104호 일부","경기도 성남시 수정구 위례서로 34, 위례리버스토리 104(일부)호 (창곡동)",2021-03-31
분당구,제과점영업,달빵,2020-05-27,영업중,-,-,-,-,50,경기도 성남시 분당구 판교동 603-1번지 지하1층 일부호,"경기도 성남시 분당구 운중로267번길 13-7, 지하1층 일부호 (판교동)",2021-03-31
분당구,제과점영업,구움베이킹아틀리에(Kuum),2020-04-22,영업중,-,-,-,-,28,경기도 성남시 분당구 삼평동 678 삼환하이펙스A동 115호,"경기도 성남시 분당구 판교역로 240, 삼환하이펙스A동 1층 115호 (삼평동)",2021-03-31
수정구,제과점영업,아이마이미마인,2019-07-17,영업중,-,-,-,-,37.95,"경기도 성남시 수정구 창곡동 563 위례역 푸르지오 6단지,1층6A-105호(일부)","경기도 성남시 수정구 위례광장로 12, 근린생활시설1동 1층 6A-105(일부)호 (창곡동, 위례역 푸르지오 6단지)",2021-03-31
분당구,제과점영업,베이커리(BAKERY) 분당판교점,2010-12-08,영업중,-,-,-,-,8.61,경기도 성남시 분당구 삼평동 708 지하1층 홈플러스익스프레스 분당판교점 식품매장내 일부,"경기도 성남시 분당구 판교로 375 (삼평동,지하1층 홈플러스익스프레스 분당판교점 식품매장내 일부)",2021-03-31
분당구,제과점영업,윤시케이크,2015-12-28,영업중,-,-,-,-,92.25,경기도 성남시 분당구 서현동 163-1번지 1층 일부,"경기도 성남시 분당구 안골로48번길 5 (서현동, 1층 일부)",2021-03-31
수정구,제과점영업,파리바게뜨 성남신흥점,2016-01-06,영업중,-,-,-,-,232.5,"경기도 성남시 수정구 신흥동 2515번지 1,2층","경기도 성남시 수정구 산성대로 269, 1,2층 (신흥동)",2021-03-31
분당구,제과점영업,라벨르마망,2016-05-30,영업중,-,-,-,-,49.5,경기도 성남시 분당구 정자동 165-1 정자역 엠코헤리츠 1단지 1층 A110호,"경기도 성남시 분당구 정자일로 146, 1층 A110호 (정자동, 정자역 엠코헤리츠 1단지)",2021-03-31
분당구,제과점영업,아빠빵집2016,2016-06-24,영업중,-,-,-,-,36.33,"경기도 성남시 분당구 수내동 32번지 양지마을청구금호아파트 양지마을602동 1층 104호 일부, 105호 일부","경기도 성남시 분당구 내정로165번길 38, 양지마을 602동 1층 104(일부)호, 105(일부)호 (수내동, 양지마을청구금호아파트)",2021-03-31
분당구,제과점영업,우리동네식빵,2016-06-28,영업중,-,-,-,-,14.28,경기도 성남시 분당구 운중동 921 산운마을 상가동 1층 106호 일부,"경기도 성남시 분당구 판교원로 46 (운중동, 산운마을 상가동 1층 106호 일부)",2021-03-31
분당구,제과점영업,블럭제빵소,2016-06-29,영업중,-,-,-,-,28.86,경기도 성남시 분당구 삼평동 709번지 메가스페이스1 1층 102호,"경기도 성남시 분당구 판교로 375, 1층 102호 (삼평동, 메가스페이스1)",2021-03-31
중원구,제과점영업,슈가테이블,2016-06-30,영업중,-,-,-,-,35.1,경기도 성남시 중원구 여수동 584,"경기도 성남시 중원구 양현로 469, 4층 402-2호 (여수동)",2021-03-31
분당구,제과점영업,빵사랑,2016-02-01,영업중,-,-,-,-,35.08,경기도 성남시 분당구 정자동 166-1번지 정자역 엠코헤리츠2단지 1층 B105호,"경기도 성남시 분당구 정자일로 140, 1층 B105호 (정자동, 정자역 엠코헤리츠2단지)",2021-03-31
분당구,제과점영업,블럭제빵소 분당미금점,2016-02-15,영업중,-,-,-,-,27.36,경기도 성남시 분당구 금곡동 151 골드프라자 1층 제112호,"경기도 성남시 분당구 돌마로 87, 1층 제112호 (금곡동, 골드프라자)",2021-03-31
분당구,제과점영업,외계인방앗간 정자점,2016-02-22,영업중,-,-,-,-,70.2,경기도 성남시 분당구 정자동 8-3번지 월드프라자 1층 115호,"경기도 성남시 분당구 정자일로 240, 1층 115호 (정자동, 월드프라자)",2021-03-31
분당구,제과점영업,(주)디에스유통뚜레쥬르분당점,2016-02-24,영업중,-,-,-,-,42.56,경기도 성남시 분당구 야탑동 502 야탑시장 1층 일부,"경기도 성남시 분당구 야탑로 64 (야탑동, 야탑시장 1층 일부)",2021-03-31
분당구,제과점영업,파리바게트 서판교점,2010-09-17,영업중,-,-,-,-,91.56,"경기도 성남시 분당구 운중동 948 스타타워 1층 104,105호","경기도 성남시 분당구 운중로 118 (운중동,스타타워 1층 104,105호)",2021-03-31
중원구,제과점영업,마망베이커리&카페(2호점),2010-09-17,영업중,-,-,-,-,56.97,경기도 성남시 중원구 성남동 3292번지 (1층),"경기도 성남시 중원구 광명로 46, 1층 (성남동)",2021-03-31
중원구,제과점영업,빵 아저씨,2010-10-01,영업중,-,-,-,-,24.42,경기도 성남시 중원구 성남동 2445번지 1층 일부,"경기도 성남시 중원구 광명로100번길 9, 1층 (성남동, 일부)",2021-03-31
분당구,제과점영업,파리바게뜨 정자카페점,2010-10-19,영업중,-,-,-,-,156.75,"경기도 성남시 분당구 정자동 8-3번지 월드프라자 1층 110,111호","경기도 성남시 분당구 정자일로 240 (정자동, 월드프라자 1층 110,111호)",2021-03-31
분당구,제과점영업,베이커리(BAKERY) 서판교점,2010-10-20,영업중,-,-,-,-,1.2,경기도 성남시 분당구 운중동 946 골드클래스 1층 홈플러스 익스프레스 매장내 (103호 일부),"경기도 성남시 분당구 운중로 122 (운중동,골드클래스 1층 홈플러스 익스프레스 매장내 (103호 일부))",2021-03-31
분당구,제과점영업,파리바게뜨분당코오롱점,2010-11-01,영업중,-,-,-,-,160.31,경기도 성남시 분당구 이매동 146-3번지 1층 일부,"경기도 성남시 분당구 탄천로 27 (이매동,1층 일부)",2021-03-31
중원구,제과점영업,파리바게뜨(남한산성역점),2010-11-17,영업중,-,-,-,-,69.5,경기도 성남시 중원구 금광동 4676번지 (1층),"경기도 성남시 중원구 산성대로 446, 1층 (금광동)",2021-03-31
분당구,제과점영업,파리바게트 서현파크,2016-01-13,영업중,-,-,-,-,29.71,경기도 성남시 분당구 서현동 89 서현파크플라자 1층 106호,"경기도 성남시 분당구 중앙공원로31번길 42, 1층 106호 (서현동, 서현파크플라자)",2021-03-31
분당구,제과점영업,파리바게트 서현파크2,2016-01-13,영업중,-,-,-,-,42.12,경기도 성남시 분당구 서현동 89 서현파크플라자 3층 312호,"경기도 성남시 분당구 중앙공원로31번길 42, 3층 312호 (서현동, 서현파크플라자)",2021-03-31
분당구,제과점영업,잼앤브레드,2016-01-28,영업중,-,-,-,-,79.94,경기도 성남시 분당구 판교동 611-3번지 프라임 1층,"경기도 성남시 분당구 운중로277번길 40-15, 1층 (판교동, 프라임)",2021-03-31
중원구,제과점영업,파리바게뜨 성남삼성,2011-02-10,영업중,-,-,-,-,75.33,"경기도 성남시 중원구 금광동 2627번지 현대아파트상가 101,102,106호","경기도 성남시 중원구 광명로395번길 7, 101,102,106호 (금광동, 현대아파트상가)",2021-03-31
수정구,제과점영업,파리바게트 성남대로점,2011-02-16,영업중,-,-,-,-,62.44,경기도 성남시 수정구 수진동 3993 1층 일부호,"경기도 성남시 수정구 성남대로 1196, 1층 일부호 (수진동)",2021-03-31
중원구,제과점영업,성남왕꽈배기고로케,2016-05-16,영업중,-,-,-,-,21.46,경기도 성남시 중원구 금광동 4460번지 1층 102호,"경기도 성남시 중원구 산성대로 392, 1층 102호 (금광동)",2021-03-31
수정구,제과점영업,굿모닝베이커리,2002-04-26,영업중,-,-,-,-,48.8,경기도 성남시 수정구 수진동 304,경기도 성남시 수정구 수정로120번길 16 (수진동),2021-03-31
분당구,제과점영업,파리바게뜨서현중앙점,2010-12-13,영업중,-,-,-,-,71.5,경기도 성남시 분당구 서현동 269-5번지 서원플라자 1층 일부,"경기도 성남시 분당구 분당로53번길 11 (서현동,  서원플라자 1층 일부)",2021-03-31
분당구,제과점영업,파리바게뜨 상탑점,2010-12-20,영업중,-,-,-,-,78.88,경기도 성남시 분당구 야탑동 175-5번지 은성빌딩 1층 일부(102호),"경기도 성남시 분당구 야탑로 253 (야탑동,은성빌딩 1층 일부(102호))",2021-03-31
분당구,제과점영업,파리바게트,2011-01-10,영업중,-,-,-,-,44.81,경기도 성남시 분당구 판교동 577번지 1층 일부,"경기도 성남시 분당구 서판교로44번길 2 (판교동, 1층 일부)",2021-03-31
분당구,제과점영업,베떼엠,1998-04-24,영업중,-,-,-,-,123.4,"경기도 성남시 분당구 수내동 33-2번지 궁전프라자3  1층 101,102,103,123,124호","경기도 성남시 분당구 내정로173번길 49 (수내동,궁전프라자3  1층 101,102,103,123,124호)",2021-03-31
분당구,제과점영업,파리바케트,1994-03-05,영업중,-,-,-,-,31.42,경기도 성남시 분당구 이매동 120-7번지 분당코아  1층  108호,"경기도 성남시 분당구 양현로94번길 21 (이매동,  분당코아  1층  108호)",2021-03-31
수정구,제과점영업,몽빼르과자점,1994-07-11,영업중,-,-,-,-,54.18,경기도 성남시 수정구 수진동 2936번지 1층,"경기도 성남시 수정구 수정로 90 (수진동,1층)",2021-03-31
분당구,제과점영업,앙토낭카렘과자점,1994-10-22,영업중,-,-,-,-,108.28,"경기도 성남시 분당구 서현동 306-2 동남프라자 106, 107, 108, 112, 113, 114, 115호","경기도 성남시 분당구 불정로 380, 1층 (서현동, 동남프라자 106, 107, 108, 112, 113, 114, 115호)",2021-03-31
분당구,제과점영업,라슈크레꼼마,2016-08-05,영업중,-,-,-,-,24.48,경기도 성남시 분당구 구미동 77번지 까치마을 상가동 108호,"경기도 성남시 분당구 미금로 184, 108호 (구미동, 까치마을 상가동)",2021-03-31
분당구,제과점영업,베이커리(BAKERY) 야탑점(3층 홈플러스 계산대 3~4번 앞),2016-08-12,영업중,-,-,-,-,2,경기도 성남시 분당구 야탑동 341 3층 홈플러스 내,"경기도 성남시 분당구 성남대로925번길 16 (야탑동, 3층 홈플러스 내)",2021-03-31
분당구,제과점영업,베이커리차차,2016-09-13,영업중,-,-,-,-,72,경기도 성남시 분당구 수내동 29번지 양지마을한양아파트,"경기도 성남시 분당구 내정로173번길 11, 양지마을 주상복합상가 603동 2층 202호 (수내동, 양지마을한양아파트)",2021-03-31
분당구,제과점영업,정자동 밀도,2016-09-19,영업중,-,-,-,-,47.88,경기도 성남시 분당구 정자동 8-4 태남프라자 1층 114호,"경기도 성남시 분당구 정자일로 234, 1층 114호 (정자동, 태남프라자)",2021-03-31
분당구,제과점영업,블레도르,2016-09-19,영업중,-,-,-,-,74.48,경기도 성남시 분당구 판교동 562-4번지 1층 일부,"경기도 성남시 분당구 서판교로58번길 4 (판교동, 1층 일부)",2021-03-31
중원구,제과점영업,뻥굽는하우스,1990-04-11,영업중,-,-,-,-,48.79,경기도 성남시 중원구 금광동 3126번지 1층,"경기도 성남시 중원구 광명로 357, 1층 (금광동)",2021-03-31
수정구,제과점영업,이승호 베이커리,1991-11-30,영업중,-,-,-,-,87.35,"경기도 성남시 수정구 태평동 5901번지 1층, 2층","경기도 성남시 수정구 남문로 10-1, 1,2층 (태평동)",2021-03-31
분당구,제과점영업,파리바게뜨,1995-06-13,영업중,-,-,-,-,54.82,"경기도 성남시 분당구 정자동 197 정든마을상가동 106호,107호,108호","경기도 성남시 분당구 정자로 144 (정자동, 정든마을상가동 106호,107호,108호)",2021-03-31
분당구,제과점영업,몽상클레르현대백화점판교점,2015-08-13,영업중,-,-,-,-,57.9,경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교복합몰 지하1층 일부)",2021-03-31
분당구,제과점영업,파티세리 몽슈슈 현대백화점 판교점,2015-08-13,영업중,-,-,-,-,65.2,경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교복합몰 지하1층 일부)",2021-03-31
분당구,제과점영업,베떼엠(BTM),2015-08-13,영업중,-,-,-,-,6.4,경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교복합몰 지하1층 일부)",2021-03-31
수정구,제과점영업,파리바게뜨 위례역푸르지오점,2018-05-24,영업중,-,-,-,-,99.02,"경기도 성남시 수정구 창곡동 564번지 위례역 푸르지오 5단지, 근린생활시설2동 1층 5A 125호, 5A 126호, 5A 127호","경기도 성남시 수정구 위례광장로 34, 근린생활시설2동 1층 5A 125호, 5A 126호, 5A 127호 (창곡동, 위례역 푸르지오 5단지)",2021-03-31
수정구,제과점영업,톤앤톤케이크,2018-05-29,영업중,-,-,-,-,14.55,"경기도 성남시 수정구 창곡동 508-2번지 우성위례타워, 1층 120 일호","경기도 성남시 수정구 위례광장로 328, 우성위례타워 1층 120 일부호 (창곡동)",2021-03-31
분당구,제과점영업,주)신세계푸드 베이커리,2018-05-31,영업중,-,-,-,-,2.7,경기도 성남시 분당구 정자동 211 이마트 지하1층 일부,"경기도 성남시 분당구 불정로 134, 이마트 지1(일부)층 (정자동)",2021-03-31
수정구,제과점영업,뚜레쥬르 카페복정역점,2018-07-16,영업중,-,-,-,-,154.85,"경기도 성남시 수정구 복정동 643-2 주건축물제1동, 1층","경기도 성남시 수정구 성남대로 1526, 주건축물제1동 1층 (복정동)",2021-03-31
분당구,제과점영업,뚜레쥬르 분당 미금점,2011-07-12,영업중,-,-,-,-,73.5,경기도 성남시 분당구 금곡동 206번지 대덕프라자2    103호,"경기도 성남시 분당구 정자일로 25 (금곡동,대덕프라자2    103호)",2021-03-31
중원구,제과점영업,파리바게뜨 성남신청사점,2011-07-12,영업중,-,-,-,-,104.45,경기도 성남시 중원구 여수동 301번지 (1층),"경기도 성남시 중원구 성남대로997번길 51-10, 1층 (여수동)",2021-03-31
분당구,제과점영업,파리바게트,2011-08-09,영업중,-,-,-,-,33.58,경기도 성남시 분당구 이매동 120-7번지 분당코아 지하 비09호,"경기도 성남시 분당구 양현로94번길 21 (이매동,분당코아 지하 비09호)",2021-03-31
분당구,제과점영업,주)신세계푸드 베이커리 분당점,1996-11-09,영업중,-,-,-,-,220,경기도 성남시 분당구 정자동 211번지 지하1층,"경기도 성남시 분당구 불정로 134 (정자동, 지하1층)",2021-03-31
분당구,제과점영업,파리바게뜨(분당구미점),1996-11-11,영업중,-,-,-,-,52.28,경기도 성남시 분당구 구미동 205-1번지 오성프라자1층108호,"경기도 성남시 분당구 미금로 48 (구미동,오성프라자1층108호)",2021-03-31
수정구,제과점영업,파리바게트 태평역점,2009-05-15,영업중,-,-,-,-,92.72,"경기도 성남시 수정구 수진동 4538-2번지 강원빌딩,1층(일부)","경기도 성남시 수정구 성남대로 1225, 강원빌딩 1층 일부호 (수진동)",2021-03-31
중원구,제과점영업,파리바게뜨 성남도촌점,2009-06-04,영업중,-,-,-,-,74.02,"경기도 성남시 중원구 도촌동 565번지 104,105호","경기도 성남시 중원구 도촌로 8, 104,105호 (도촌동)",2021-03-31
수정구,제과점영업,빵과함께,1992-04-24,영업중,-,-,-,-,36.17,경기도 성남시 수정구 신흥동 5583번지 1층,"경기도 성남시 수정구 수정남로 89 (신흥동,1층)",2021-03-31
분당구,제과점영업,블랑제리드르방,1992-11-10,영업중,-,-,-,-,82.64,"경기도 성남시 분당구 이매동 123번지 상가동 114호, 204호 일부","경기도 성남시 분당구 양현로94번길 29 (이매동, 상가동 114호, 204호 일부)",2021-03-31
중원구,제과점영업,파리바게뜨 하대원동점,2010-07-01,영업중,-,-,-,-,49.64,경기도 성남시 중원구 하대원동 143-1 태연스카이빌 110호,"경기도 성남시 중원구 둔촌대로 274, 110호 (하대원동,태연스카이빌)",2021-03-31
중원구,제과점영업,뚜레쥬르 (남한산성역점),2010-07-19,영업중,-,-,-,-,77.34,"경기도 성남시 중원구 금광동 4843번지 (1,2층)","경기도 성남시 중원구 산성대로 474, 1,2층 (금광동)",2021-03-31
중원구,제과점영업,꼬띠아르,2018-01-02,영업중,-,-,-,-,19.79,경기도 성남시 중원구 성남동 2473번지 1층일부,"경기도 성남시 중원구 광명로110번길 12-13, 1층 (성남동)",2021-03-31
수정구,제과점영업,뚜레주르 위례중앙점,2018-01-05,영업중,-,-,-,-,113.14,"경기도 성남시 수정구 창곡동 509번지 위례중앙역 중앙타워, 1층 108호, 109호","경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 1층 108호, 109호 (창곡동)",2021-03-31
중원구,제과점영업,빵사부식빵공방,2018-01-25,영업중,-,-,-,-,42.64,"경기도 성남시 중원구 성남동 3493번지 구정빌딩, 1층 106호","경기도 성남시 중원구 성남대로 1146, 구정빌딩 1층 106호 (성남동)",2021-03-31
분당구,제과점영업,어린이미술관카페,2015-08-06,영업중,-,-,-,-,13.98,경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 5층 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교복합몰 5층 일부)",2021-03-31
분당구,제과점영업,일파네,2015-08-12,영업중,-,-,-,-,39,경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교복합몰 지하1층 일부)",2021-03-31
분당구,제과점영업,메종프랭크,2015-08-13,영업중,-,-,-,-,6.5,경기도 성남시 분당구 백현동 541 현대백화점 판교복합몰 지하1층 일부,"경기도 성남시 분당구 판교역로146번길 20 (백현동, 현대백화점 판교복합몰 지하1층 일부)",2021-03-31
분당구,제과점영업,빵장수단팥빵 분당점,2015-11-17,영업중,-,-,-,-,46.41,경기도 성남시 분당구 서현동 254-5번지 서현프라자 1층 105호,"경기도 성남시 분당구 서현로180번길 13, 1층 105호 (서현동, 서현프라자)",2021-03-31
분당구,제과점영업,앙토낭카렘2,2015-12-04,영업중,-,-,-,-,75.03,경기도 성남시 분당구 서현동 306-2번지 동남프라자 2층 204호,"경기도 성남시 분당구 불정로 380, 2층 204호 (서현동, 동남프라자)",2021-03-31
분당구,제과점영업,오팡,2014-09-26,영업중,-,-,-,-,47.04,경기도 성남시 분당구 서현동 94-3번지 우성종합상가 49동 209호,"경기도 성남시 분당구 중앙공원로40번길 42, 49동 209호 (서현동, 우성종합상가)",2021-03-31
분당구,제과점영업,(주)유우,2014-10-13,영업중,-,-,-,-,83.33,경기도 성남시 분당구 서현동 246-2번지 분당서현 신영팰리스타워 206호,"경기도 성남시 분당구 황새울로360번길 21, 206호 (서현동, 분당서현 신영팰리스타워)",2021-03-31
수정구,제과점영업,삼형제쿠키,2014-10-21,영업중,-,-,-,-,42.67,경기도 성남시 수정구 복정동 671번지 1층,"경기도 성남시 수정구 성남대로1480번길 16, 1층 (복정동)",2021-03-31
중원구,제과점영업,브레드하우스,2011-10-05,영업중,-,-,-,-,24.64,경기도 성남시 중원구 하대원동 131-16번지 (1층),"경기도 성남시 중원구 둔촌대로 275, 1층 (하대원동)",2021-03-31
분당구,제과점영업,파리바게뜨분당금곡점,2011-10-19,영업중,-,-,-,-,31.16,경기도 성남시 분당구 금곡동 141번지 근린상가동 1층 107-2호,"경기도 성남시 분당구 미금로 215 (금곡동,근린상가동 1층 107-2호)",2021-03-31
분당구,제과점영업,파리바게뜨분당금곡점 2,2011-10-19,영업중,-,-,-,-,16.12,경기도 성남시 분당구 금곡동 141번지 근린상가동 지하 B103호,"경기도 성남시 분당구 미금로 215 (금곡동,근린상가동 지하 B103호)",2021-03-31
중원구,제과점영업,블럭제빵소 성남성남동점,2018-02-21,영업중,-,-,-,-,32.92,"경기도 성남시 중원구 성남동 1404번지 성남 센트럴 푸르지오 시티, 1층 123호","경기도 성남시 중원구 광명로 89, 성남 센트럴 푸르지오 시티 1층 123호 (성남동)",2021-03-31
분당구,제과점영업,단비,2018-02-28,영업중,-,-,-,-,46.04,경기도 성남시 분당구 정자동 64-6번지 1층 일부,"경기도 성남시 분당구 느티로77번길 6-10, 1(일부)층 (정자동)",2021-03-31
분당구,제과점영업,호밀브레드하우스,2018-03-07,영업중,-,-,-,-,34.5,경기도 성남시 분당구 백현동 554번지 백현마을5단지아파트 백현마을 나상가동 104호,"경기도 성남시 분당구 판교역로 102, 백현마을나상가동 104호 (백현동, 백현마을5단지아파트)",2021-03-31
분당구,제과점영업,뚜레쥬르 분당 느티마을점,1996-12-30,영업중,-,-,-,-,59.08,경기도 성남시 분당구 정자동 65-4번지 현대프라자101호,"경기도 성남시 분당구 느티로 71 (정자동,현대프라자101호)",2021-03-31
분당구,제과점영업,뚜레쥬르 (분당 효자촌),1997-09-11,영업중,-,-,-,-,58.06,경기도 성남시 분당구 서현동 298-3번지 1층 104호,"경기도 성남시 분당구 돌마로 478, 104호 (서현동, 1층)",2021-03-31
분당구,제과점영업,주)리안베이커리,2020-06-30,영업중,-,-,-,-,55.77,"경기도 성남시 분당구 서현동 304 효자촌삼환아파트 B12,B13,B14","경기도 성남시 분당구 돌마로476번길 31, 지하1층 B12,B13,B14호 (서현동, 효자촌삼환아파트)",2021-03-31
분당구,제과점영업,맬봄제과,2020-06-26,영업중,-,-,-,-,,경기도 성남시 분당구 수내동 90-1 1층 일부,"경기도 성남시 분당구 발이봉로7번길 2, 1층 일부호 (수내동)",2021-03-31
분당구,제과점영업,벨르보,2020-06-26,영업중,-,-,-,-,71.35,경기도 성남시 분당구 정자동 221-4 1층,"경기도 성남시 분당구 불곡로 5, 1층 (정자동)",2021-03-31
분당구,제과점영업,더베이크,2020-07-01,영업중,-,-,-,-,53.65,경기도 성남시 분당구 수내동 29 양지마을한양아파트 B1호 일부,"경기도 성남시 분당구 내정로173번길 11, 지하1층 B01일부호 (수내동, 양지마을한양아파트)",2021-03-31
분당구,제과점영업,화이트리에 정자점,2020-08-21,영업중,-,-,-,-,45.8,경기도 성남시 분당구 정자동 8-4 태남프라자 1층 109호,"경기도 성남시 분당구 정자일로 234, 태남프라자 1층 109호 (정자동)",2021-03-31
