업종명,업소명,소재지(도로명),소재지전화,관할기관,기준일자
건강기능식품일반판매업,마임 구리지사,경기도 구리시 검배로 14-1 (수택동), 031- 555-1651,구리시청,2021-05-07
건강기능식품일반판매업,국군복지단 서울지원본부(국군구리병원),경기도 구리시 인창2로 177 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,콩시대,경기도 구리시 경춘로288번길 21-16 (수택동  401호),,구리시청,2021-05-07
건강기능식품일반판매업,한빛의료기 구리지점,경기도 구리시 안골로 98 (수택동 조은빌딩 8층),031 -554 -0277,구리시청,2021-05-07
건강기능식품일반판매업,가나상사,경기도 구리시 갈매중앙로 131  302동 2층 203호 (갈매동  갈매3단지),,구리시청,2021-05-07
건강기능식품일반판매업,콜라폴라,경기도 구리시 담터길32번길 57  201호 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,허브의꿈,경기도 구리시 장자대로86번길 38  새롬프라자11차 2층 204호 (수택동),  02- 444-6633,구리시청,2021-05-07
건강기능식품일반판매업,수 영상의학과의원,경기도 구리시 경춘로 223  3층 306호 (인창동),031 -554 -9998,구리시청,2021-05-07
건강기능식품일반판매업,굿윌스토어 밀알인창점,경기도 구리시 동구릉로 110  1층 (인창동),031 -524 -9891,구리시청,2021-05-07
건강기능식품일반판매업,연세안과의원,경기도 구리시 장자대로 72  3층 (수택동),031 -567 -8575,구리시청,2021-05-07
건강기능식품일반판매업,엠에스존구리점,경기도 구리시 경춘로 178 (교문동),031 -554 -1080,구리시청,2021-05-07
건강기능식품일반판매업,신아씨웰,경기도 구리시 검배로 36 (수택동  402호),,구리시청,2021-05-07
건강기능식품일반판매업,한성건강,경기도 구리시 동구릉로85번길 76  505동 101호 (인창동 삼성A),,구리시청,2021-05-07
건강기능식품일반판매업,유마트247,경기도 구리시 갈매중앙로 25  608동 404호 (갈매동  갈매6단지),,구리시청,2021-05-07
건강기능식품일반판매업,은성산업,경기도 구리시 건원대로34번길 25 (인창동  신아월도 409호),031 -565 -2662,구리시청,2021-05-07
건강기능식품일반판매업,광동메디칼 구리지점,경기도 구리시 안골로 83-1 (수택동 (지하1층)),,구리시청,2021-05-07
건강기능식품일반판매업,클래스홀딩스,경기도 구리시 안골로 49  용덕빌딩 7층 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,우주바이오,경기도 구리시 응달말로52번길 31-11  나동 2층 201호 (인창동  유광빌라),,구리시청,2021-05-07
건강기능식품일반판매업,동행복지용구,경기도 구리시 갈매순환로204번길 25-7  1층 (갈매동),02  -6101-2422,구리시청,2021-05-07
건강기능식품일반판매업,주식회사 한양바이오팜,경기도 구리시 동구릉로136번길 35  아이원패션로데오타운 B동 212호 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,홈플러스 익스프레스 인창점,경기도 구리시 건원대로76번길 42  1층 (인창동  홈플러스 매장 내),031 -565 -8545,구리시청,2021-05-07
건강기능식품일반판매업,세븐일레븐(구리수택점),경기도 구리시 안골로 103 (수택동),031 -5660-914,구리시청,2021-05-07
건강기능식품일반판매업,아리따움 수택점,경기도 구리시 이문안로 70 (수택동 동진타워 103호),031 -5519-650,구리시청,2021-05-07
건강기능식품일반판매업,슬림바디챌린지클럽,경기도 구리시 체육관로 110  101동 305호 (교문동  일성아파트),,구리시청,2021-05-07
건강기능식품일반판매업,베스트핏,경기도 구리시 갈매순환로 11  CM파크 2층 202호 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,에터미아가파구리교육센터,경기도 구리시 건원대로34번길 17  7층 (인창동  금영빌딩),031 -565 -5657,구리시청,2021-05-07
건강기능식품일반판매업,엠스토리(M STORY),경기도 구리시 갈매순환로 17  305호 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,건강드림,경기도 구리시 갈매순환로 10  2006동 1204호 (갈매동  갈매더샵나인힐스),,구리시청,2021-05-07
건강기능식품일반판매업,올스본코리아,경기도 구리시 체육관로171번길 7  금성빌딩 601호 (교문동),,구리시청,2021-05-07
건강기능식품일반판매업,일원,경기도 구리시 이문안로99번길 22-5 (수택동  1층),,구리시청,2021-05-07
건강기능식품일반판매업,루이피부과,경기도 구리시 장자대로 72  미림프라자 2층 204호 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,한국매디칼,경기도 구리시 안골로57번길 36-25  2층 (수택동),,구리시청,2021-05-07
건강기능식품일반판매업,GS구리돌다리점,경기도 구리시 경춘로227번길 14  1층 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,라온엘,경기도 구리시 건원대로 3  흥화브라운오피스텔 1409호 (인창동),  02-2647-9448,구리시청,2021-05-07
건강기능식품일반판매업,주식회사 에이에치팜,경기도 구리시 우미내길 6  3층 301호 (아천동),,구리시청,2021-05-07
건강기능식품일반판매업,상대유통(주),경기도 구리시 동구릉로136번길 90  구리농수산물도매시장 수산2동 1층 21110호 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,신비한백토힐링하우스,경기도 구리시 경춘로 288  2층 (수택동  좌측),,구리시청,2021-05-07
건강기능식품일반판매업,애터미,경기도 구리시 경춘로 239  리맥스빌딩 219호 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,드림팜웰,경기도 구리시 벌말로147번길 58-3 (토평동  201호),031 -565 -5421,구리시청,2021-05-07
건강기능식품일반판매업,(주)아트피아,경기도 구리시 건원대로34번길 9  세신리빙프라자 404 405호 (인창동),,구리시청,2021-05-07
건강기능식품일반판매업,와이제이상사,경기도 구리시 아차산로500번길 31 (교문동  2층),,구리시청,2021-05-07
건강기능식품일반판매업,동호물산,경기도 구리시 검배로59번길 10-27 (수택동 1층),,구리시청,2021-05-07
건강기능식품일반판매업,갈매아이웰서비스,경기도 구리시 갈매순환로 194  3층 303호 (갈매동),,구리시청,2021-05-07
건강기능식품일반판매업,(주)지엘루비,경기도 구리시 동구릉로136번길 90  구리농수산물도매시장 청과A동 302호 (인창동),031 -555 -3436,구리시청,2021-05-07
