시군명,명소명,주소,유형,용도,데이터기준일자,정제WGS84위도,정제WGS84경도
광주시,남한산성_지수당(地水堂),경기도 광주시 중부면 산성리 124-1,공간환경,기타(가옥),2021-02-19,37.4759691579,127.1893155669
광주시,남한산성_개원사지,경기도 광주시 중부면 산성리 198-1,공간환경,사찰,2021-02-19,37.4747130180,127.1859548697
광주시,남한산성_현절사(顯節祠),경기도 광주시 중부면 산성리 310-1,공간환경,사당,2021-02-19,37.4779319373,127.1905431414
광주시,남한산성_침괘정(枕戈亭),경기도 광주시 중부면 산성리 591-1,공간환경,누정,2021-02-19,37.4785732128,127.1833979241
광주시,남한산성_수어장대(守禦將臺),경기도 광주시 중부면 산성리 815-1,공간환경,성곽,2021-02-19,37.4796557605,127.1764814274
광주시,남한산성_청량당(淸凉堂),경기도 광주시 중부면 산성리 815-2,공간환경,사찰,2021-02-19,37.4797463077,127.1761763820
광주시,남한산성_행궁,경기도 광주시 중부면 산성리935-6,공간환경,행궁,2021-02-19,37.4788559698,127.1811261788
구리시,동구릉(東九陵),경기도 구리시 인창동 2-1,공간환경,릉,2021-02-19,37.6252554100,127.1420093016
김포시,김포향교,경기도 김포시 북변동 371-1,건축물,향교,2021-02-19,37.6246481239,126.7095635949
김포시,통진향교,경기도 김포시 월곳면 군하리 220,건축물,향교,2021-02-19,37.7169565963,126.5501928022
김포시,문수산성,경기도 김포시 월곶면 성동리산35-1,공간환경,성곽,2021-02-19,37.7390088945,126.5388703290
남양주시,"흥국사(영산전,만월보전)",경기도 남양주시 별내면 덕송리 331,건축물,사찰,2021-02-19,37.6851651996,127.0990089210
남양주시,수종사,경기도 남양주시 조안면 송촌리 1060,건축물,사찰,2021-02-19,37.5711561425,127.3022448918
남양주시,사릉(思陵),경기도 남양주시 진건읍 사능리 산65-1,공간환경,릉,2021-02-19,37.6454472747,127.1984176852
남양주시,봉선사,경기도 남양주시 진접읍 부평리 255,건축물,사찰,2021-02-19,37.7468783759,127.1847955090
남양주시,광릉(光陵),경기도 남양주시 진접읍 부평리 산99-2,공간환경,릉,2021-02-19,37.7491354092,127.1761930287
남양주시,궁집(권옥연소유),경기도 남양주시 평내동 426-1,건축물,전통가옥,2021-02-19,37.6443217007,127.2309106456
남양주시,흥원,경기도 남양주시 화도읍 창현리 산22-2,공간환경,릉,2021-02-19,37.6484428405,127.3104688404
수원시,화령전,경기도 수원시 장안구 신풍동 123,건축물,기타(제사유적),2021-02-19,37.2835904748,127.0126957608
수원시,수원화성_화서문(華西門),경기도 수원시 장안구 장안동 25-1,공간환경,기타(궁궐),2021-02-19,37.2885431874,127.0138094611
수원시,수원화성_팔달문(八達門),경기도 수원시 팔달구 팔달로2가,공간환경,기타(궁궐),2021-02-19,,
수원시,수원 광주이씨 월곡댁,경기도 수원시 장안구 파장동 383,건축물,전통가옥,2021-02-19,37.3097569433,126.9974052910
안산시,청문당,경기도 안산시 상록구 부곡동 261-15,건축물,전통가옥,2021-02-19,37.3394040084,126.8729136307
양평군,이항로선생 생가,경기도 양평군 서종면 노문리 535-6,건축물,전통가옥,2021-02-19,37.6394233226,127.4270959155
여주시,영릉(英陵)과 녕릉(寧陵),경기도 여주시 능서면 왕대리 907-2,공간환경,릉,2021-02-19,37.3110453541,127.6096988467
여주시,여주 고달사지,경기도 여주시 북내면 상교리 411-1,공간환경,사찰,2021-02-19,37.3937374221,127.6524637426
여주시,명성황후 생가(明成皇后生家),경기도 여주시 여주읍 능현리 250-2,건축물,전통가옥,2021-02-19,37.2596759342,127.6554257107
여주시,강한사(江漢祠),경기도 여주시 여주읍 하리 200-1,건축물,사당,2021-02-19,37.2995357491,127.6333132791
연천군,연천 숭의전지,경기도 연천군 미산면 아미리 7,공간환경,주거건물지,2021-02-19,38.0237126030,126.9730165322
용인시,전음애이자 고택,경기도 용인시 기흥읍 지곡리 297-2,건축물,전통가옥,2021-02-19,37.2384809677,127.1342966979
용인시,심곡서원,경기도 용인시 수지구 상현동 203-2,건축물,서원,2021-02-19,37.3057672458,127.0766245331
의왕시,임영대군이구묘역및사당,경기도 의왕시 내손동 35,공간환경,사당및묘역,2021-02-19,37.3756238981,126.9959947852
의정부,"서계 박세당 사랑채,종가,사당",경기도 의정부시 장암동 197,건축물,전통가옥,2021-02-19,37.7002855467,127.0575680745
이천시,설성산성,경기도 이천시 장호원읍 선읍리 930-1,공간환경,성곽,2021-02-19,37.1451271205,127.5572029298
파주시,보광사,경기도 파주시 광탄면 영장리 13,건축물,사찰,2021-02-19,37.7537165759,126.9204711292
파주시,자운서원,경기도 파주시 법원읍 동문리 산5-1,건축물,서원,2021-02-19,37.8672973033,126.8720060780
파주시,장릉(長陵),경기도 파주시 탄현면 갈현리 산25-1,공간환경,릉,2021-02-19,37.7711844771,126.7110037568
평택시,팽성읍 객사,경기도 평택시 팽성읍 객사리 117,건축물,관아,2021-02-19,36.9648846827,127.0632867130
포천시,포천향교(抱川鄕校),경기도 포천시 군내면 구읍리 176,건축물,향교,2021-02-19,37.8897027254,127.2213425922

