종별,지정번호,지정일자,문화재명,위치,데이터기준일자
국가,보물1324호,2001-09-21,시흥 소래산 마애보살입상,경기도 시흥시 대야동 산 140-3,2021-06-01
국가,보물1948호,2017-12-16,법계성범수륙승회수재의궤,경기도 시흥시 시흥대로268번길 50-65(진덕사),2021-06-01
국가,사적413호,1999-06-11,시흥시 방산동청자와백자요지,경기도 시흥시 방산도 산39-1외,2021-06-01
국가,사적441호,2002-04-01,시흥 오이도 유적,경기도 시흥시 정왕동 941외,2021-06-01
경기도,기념물 87호,1985-09-20,강희맹 선생묘 및 신도비,경기도 시흥시 하상동 산2,2021-06-01
경기도,기념물 103호,1988-03-21,조남리 지석묘,경기도 시흥시 조남동 480-8외,2021-06-01
경기도,기념물 163호,1997-05-16,청주한씨 문익공파 묘역,경기도 시흥시 거모동 산 62-4,2021-06-01
경기도,무형문화재 제 59호,2015-11-20,시흥 군자봉 성황제,경기도 시흥시 군자동 일원,2021-06-01
