순번,시설명,소재지도로명주소(필수),데이터기준일자
354,동파리 경로당,경기도 파주시 진동면 해마루길 111,2021-05-31
355,교하리 경로당,파주시 교하로 1414-5 (교하동),2021-05-31
356,당하리  경로당,파주시 당하길 77 (당하동),2021-05-31
357,오도2리  경로당,파주시 오도로 130번길 8 (오도동),2021-05-31
358,연다산2리(문화)  경로당,파주시 거문이길 182 (연다산동),2021-05-31
359,송촌리  경로당,파주시 소라지로 332 (송촌동),2021-05-31
360,신촌리  경로당,파주시 소라지로 177번길 103 (신촌동),2021-05-31
361,하지석리  경로당,파주시 하지석길 263 (하지석동),2021-05-31
362,산남리  경로당,파주시 산남로 119번길 18(산남동),2021-05-31
363,문발1동 경로당,파주시 교하로 863번길 34 (문발동),2021-05-31
364,연다산1리  경로당,파주시 연다매길 108 (연다산동),2021-05-31
365,오도1리  경로당,파주시 대골길 2 (오도동),2021-05-31
366,오도1리(선무정)  경로당,파주시 연다산길 20 (오도동),2021-05-31
367,동패3리  경로당,파주시 교하로 613-17 (동패동),2021-05-31
368,교하주공2단지 경로당,"파주시 숲속노을로 297 (문발동, 노을빛마을 주공2단지 아파트)",2021-05-31
369,동문굿모닝힐 10단지아파트  경로당,"파주시 책향기로 441 (동패동, 책향기마을 10단지)",2021-05-31
370,동문굿모닝힐 8단지 경로당,"파주시 청석로 350 (다율동, 청석마을 8단지) ",2021-05-31
371,신동아파밀리에 11단지아파트  경로당,"파주시 책향기로 420 (동패동, 책향기마을 신동아아파트)",2021-05-31
372,숲속길마을 3단지 동문굿모닝힐 경로당,"파주시 책향기로 337 (문발동, 동문굿모닝힐 3단지)",2021-05-31
373,숲속길마을 7단지 월드메르디앙  경로당,"파주시 책향기로 403 (동패동, 숲속길마을 월드7단지)",2021-05-31
374,숲속길마을 6단지 동문굿모닝힐  경로당,"파주시 책향기로 371 (동패동, 동문굿모닝힐 6단지)",2021-05-31
375,진흥효자아파트 경로당,"파주시 책향기로 448 (동패동, 책향기마을 진흥효자아파트)",2021-05-31
376,노을빛마을 1단지 경로당,"파주시 숲속노을로 298 (문발동, 노을빛마을 주공1단지)",2021-05-31
377,책향기마을 14단지 우남퍼스트빌  경로당,"파주시 책향기로 209 (동패동, 책향기마을 우남퍼스트빌)",2021-05-31
378,대원효성아파트  경로당,"파주시 청석로 300 (다율동, 청석마을 대원효성아파트) ",2021-05-31
379,책향기마을15단지 상록데시앙아파트 경로당,"파주시 책향기로 183 (동패동, 책향기마을 상록데시앙아파트)",2021-05-31
380,산내마을1단지경로당, 교하로 20 (목동동),2021-05-31
381,산내마을2단지경로당, 교하로 50 (목동동),2021-05-31
382,산내마을 3단지 휴먼시아 경로당, 교하로 70 (목동동),2021-05-31
383,산내마을 6단지 한라비발디플러스 경로당, 청암로 27 (목동동),2021-05-31
384,교하2차 월드메르디앙아파트 경로당, 청암로 28 (다율동),2021-05-31
385,해솔마을 11단지 휴먼시아 경로당, 미래로 601 (목동동),2021-05-31
386,교하1차현대아파트 경로당, 미래로 535 (목동동),2021-05-31
387,해솔마을 4단지 벽산우남연리지 경로당, 해솔로 20 (목동동),2021-05-31
388,두산위브아파트(해솔마을) 경로당, 해솔로 85 (목동동),2021-05-31
389,교하1차월드메르디앙아파트 경로당, 와석순환로 347 (와동동),2021-05-31
390,해솔마을 6단지 휴먼시아 경로당, 와석순환로 380 (목동동),2021-05-31
391,해솔마을 5단지 삼부르네상스 경로당, 가온로 67 (목동동),2021-05-31
392,교하2차현대아파트 경로당, 와석순환로 307 (목동동),2021-05-31
393,산내마을 10단지 푸르지오 경로당, 심학산로 385 (목동동),2021-05-31
394,산내마을9단지 힐스테이트 경로당, 교하로 100 (목동동),2021-05-31
395,동패1통 경로당,파주시 교하로 456,2021-05-31
396,운정(야당3리) 경로당,파주시 운정1길 27-16,2021-05-31
397,야당4리 경로당,파주시 하우1길 13,2021-05-31
398,야당5리 경로당,파주시 송학말길 34-11,2021-05-31
399,교하벽산아파트 경로당,파주시 동패로 117,2021-05-31
400,한울마을3단지 경로당,파주시 동패로 100,2021-05-31
401,한울마을4단지 경로당,파주시 한울로 101,2021-05-31
402,한울마을5단지 경로당,파주시 한울로 84,2021-05-31
403,한울마을6단지 경로당,파주시 한울로 100,2021-05-31
404,삼부르네상스(한울마을7단지)아파트 경로당,파주시 미래로 345,2021-05-31
405,한라비발디 센트럴파크아파트 경로당,파주시 미래로 422,2021-05-31
406,한빛마을2단지(휴먼빌레이크펠리스) 경로당,파주시 한빛로 67,2021-05-31
407,자유로아이파크아파트 경로당,파주시 한빛로 11,2021-05-31
408,한빛마을5단지(캐슬&칸타빌) 경로당,파주시 한빛로 70,2021-05-31
409,한빛마을6단지 경로당,파주시 와석순환로 87,2021-05-31
410,한빛마을7단지 경로당,파주시 와석순환로 61,2021-05-31
411,한빛마을8단지 경로당,파주시 와석순환로 15,2021-05-31
412,롯데캐슬파크타운2차아파트경로당,"파주시 한빛로 20, 405동 1층",2021-05-31
413,한빛마을9단지 경로당,"파주시 와석순환로 16, 롯데캐슬파크타운",2021-05-31
