시설명,소재지도로명주소,주요프로그램,주요시설,홈페이지,전화번호,데이터기준일자
김포시청소년수련원,경기도 김포시 월곶면 용강로13번길 38,"써바이벌게임, 모듬북체험, 양궁배우기, 지혜의문, 캠프화이어, 양초공예","연수시설, 생활관, 짚라인, 챌린지타워, 인공암벽",https://www.fgy.or.kr/gpyc/mainPage.do,031-989-6700,2021-06-29
청소년상담복지센터,경기도 김포시 걸포로 76,"방학(동계/하계) 프로그램, 예비중고등학생을위한 진로지도프로그램, 출장상담 프로그램, 특별교육이수 프로그램, 청소년상담캠프, 사회심리극을통한 대인관계 향상 프로그램, 청소년가족캠프, 청소년 문화정보지발간, 청소년상담센터자료집발간, 청소년상담센터 사이버상담","김포청소년수련관, 걸포중앙공원",https://www.fgy.or.kr/ssac1388/mainPage.do,031-985-1387,2021-06-29
통진청소년문화의집,"경기도 김포시 통진읍 김포대로 2110-30, 통진문화회관 2층","체험학습교실운영, 청소년문화강좌운영, 학교주5일제 수업에따른 특성화프로그램운영, 토요영화무료운영, 순회문고 및 작은도서관 운영, 청소년동아리운영, 학교CA운영, 푸른교실운영","인터넷부스, 비디오부스, 오디오부스, 열린도서실, 방과후교실, 정보화교육실, 공예창작실, 동아리방, 당구코너, 공연연습실",https://www.fgy.or.kr/tj/mainPage.do,031-997-5165,2021-06-29
사우청소년문화의집,"경기도 김포시 사우중로 26(사우동), 시민회관 1층 사우청소년문화의집 ","청소년동아리활동, 학교연계프로그램운영, 청소년을위한 토요영화상영 운영, 문화강좌운영/방학특강운영, 청소년체험활동운영, 청소년 축제운영, 청소년봉사활동프로그램운영, 청소년운영위원회","휴게실, 인터넷카페, 멀티인터넷교실, 열린공간, 정보서비스실, 다용도활동실, 음악활동실, 다목적홀, 연극및각종행사연습실, 당구코너",https://www.fgy.or.kr/sau/mainPage.do,031-997-8140,2021-06-29
중봉청소년수련관,경기도 김포시 걸포로 76,"청소년운영위원회 등 3종의 청소년자치기구운영, 어린이날행사외 청소년관련축제운영, 청소년문화아카데미 등 교육문화사업, 청소년 로스클캠프 등 특성화사업, 15종의 지역 및 학교연계사업 등 교육프로그램 운영, 자기주도학습센터 운영, 청소년들의 다양한 문화체험활동프로그램운영","자치활동실, 프로그램실, 강의실, 요리실습실, 세미나실, 공작실, 북카페, 탁구대, 체육활동실, 음악활동실, 대강당",https://www.fgy.or.kr/jbyouth/mainPage.do,031-980-1620,2021-06-29
양촌청소년문화의집,경기도 김포시 양촌읍 양곡2로30번길 46,"청소년운영위원회, 청소년동아리, 청소년자원봉사활동, 창의적 과학체험활동, 함께하는 방학숙제 운영, Happy 토요현장체험, 녹색실천 청소년환경활동, 역사 바로알기, 학교연계 창의적 체험활동","자료비치대, 다목절홀, 문화활동실, 인터넷검색대, E-스포츠실, 자치활동실, 다목적활동실",https://www.fgy.or.kr/yc/mainPage.do,031-996-6275,2021-06-29
김포로그밸리청소년수련원,경기도 김포시 대곶면 천호로 116번길 76,도전리더십캠프,,http://www.logvalley.com/main.php,031-989-9006,2021-06-29
고촌청소년문화의집,"경기도 김포시 고촌읍 은행영사정로23번길 52-15, 고촌복지회관 3층","청소년운영위원회, 청소년동아리, 1인 방송, 3D 아트, 로봇코딩,  job 트레이더스 등","북카페, VR룸 DVD룸 미디어실 자치활동실 프로그램실",https://www.fgy.or.kr/gc/mainPage.do,031-997-4246,2021-06-29
