사업체명,관리번호,지번코드,지번주소
태재공인중개사사무소,3108133970,4.16103E+18,경기도 광주시 오포읍 신현리
(주)세븐디그리 건축사사무소,3114356370,4.16103E+18,경기도 광주시 오포읍 신현리
고깃간 유통,3115093913,4.16103E+18,경기도 광주시 오포읍 신현리
59쌀피자,3114355252,4.16103E+18,경기도 광주시 오포읍 신현리
분당태재 한의원,3114356366,4.16103E+18,경기도 광주시 오포읍 신현리
(주)지엔디스타일,3117153881,4.16103E+18,경기도 광주시 오포읍 신현리
네일테라피,1831500236,4.16103E+18,경기도 광주시 오포읍 신현리
스킨테라피,1831500247,4.16103E+18,경기도 광주시 오포읍 신현리
BHC(오포신현점),3116414834,4.16103E+18,경기도 광주시 오포읍 신현리
여주선메기매운탕,3115421785,4.16103E+18,경기도 광주시 오포읍 신현리
동래복국,3100448686,4.16103E+18,경기도 광주시 오포읍 신현리
호미가,3116414893,4.16103E+18,경기도 광주시 오포읍 신현리
솔로몬공인중개사사무소,3116415021,4.16103E+18,경기도 광주시 오포읍 신현리
태성,3116415029,4.16103E+18,경기도 광주시 오포읍 신현리
감골오리,3116415032,4.16103E+18,경기도 광주시 오포읍 신현리
송악,3101082261,4.16103E+18,경기도 광주시 오포읍 신현리
신사동 커피공방,3113345052,4.16103E+18,경기도 광주시 오포읍 신현리
필노래방,3112118460,4.16103E+18,경기도 광주시 오포읍 신현리
갤러리카페더쉼,3115084253,4.16103E+18,경기도 광주시 오포읍 신현리
킹크랩대게전문점 청정,3112118411,4.16103E+18,경기도 광주시 오포읍 신현리
채선당(오포점),3113068762,4.16103E+18,경기도 광주시 오포읍 신현리
채선당(오포점),1831501834,4.16103E+18,경기도 광주시 오포읍 신현리
고구려,3112117800,4.16103E+18,경기도 광주시 오포읍 신현리
에이치알푸드,3113286263,4.16103E+18,경기도 광주시 오포읍 신현리
나물숲향기,3116415110,4.16103E+18,경기도 광주시 오포읍 신현리
힐사이드골프연습장,3102136672,4.16103E+18,경기도 광주시 오포읍 신현리
가고싶은 화원,3116415208,4.16103E+18,경기도 광주시 오포읍 신현리
화르화르,3114353006,4.16103E+18,경기도 광주시 오포읍 신현리
치킨앤족,31N1553985,4.16103E+18,경기도 광주시 오포읍 신현리
오포e편한세상관리사무소,3110127769,4.16103E+18,경기도 광주시 오포읍 신현리
조양공인중개사사무소,3116418159,4.16103E+18,경기도 광주시 오포읍 신현리
다래김밥,3116418235,4.16103E+18,경기도 광주시 오포읍 신현리
살롱(SALON) 헤어,3116418303,4.16103E+18,경기도 광주시 오포읍 신현리
영앤핏(Young & Fit),3116418309,4.16103E+18,경기도 광주시 오포읍 신현리
석사명성태권도,3116418320,4.16103E+18,경기도 광주시 오포읍 신현리
（주）이마트에브리데이리테일 오포점,3117153894,4.16103E+18,경기도 광주시 오포읍 신현리
미니스톱오포상태,3114356368,4.16103E+18,경기도 광주시 오포읍 신현리
가나안부동산,3114083425,4.16103E+18,경기도 광주시 오포읍 신현리
치킨마루 오포신현점,3115587925,4.16103E+18,경기도 광주시 오포읍 신현리
강미숙 헤어벨르,3101082267,4.16103E+18,경기도 광주시 오포읍 신현리
스카이독서실,3116418147,4.16103E+18,경기도 광주시 오포읍 신현리
올림학원,1831500921,4.16103E+18,경기도 광주시 오포읍 신현리
재일세탁소,3113481848,4.16103E+18,경기도 광주시 오포읍 신현리
셀 빨래방,3119619597,4.16103E+18,경기도 광주시 오포읍 신현리
은희미용실,3110128262,4.16103E+18,경기도 광주시 오포읍 신현리
카페32(CAFE32),3119619642,4.16103E+18,경기도 광주시 오포읍 신현리
mom's table(엄마의식탁),3119619654,4.16103E+18,경기도 광주시 오포읍 신현리
플로라포나메리웨더,3116452456,4.16103E+18,경기도 광주시 오포읍 신현리
오렌지마트,3116418411,4.16103E+18,경기도 광주시 오포읍 신현리
오렌지마트,1831500401,4.16103E+18,경기도 광주시 오포읍 신현리
CU신현스타점,3114355270,4.16103E+18,경기도 광주시 오포읍 신현리
한빛철물마트 오포점,3114367327,4.16103E+18,경기도 광주시 오포읍 신현리
좋은날,3119583098,4.16103E+18,경기도 광주시 오포읍 신현리
성보샷시유리,3116418501,4.16103E+18,경기도 광주시 오포읍 신현리
오늘의미술,3119583175,4.16103E+18,경기도 광주시 오포읍 신현리
신현가전,3117155701,4.16103E+18,경기도 광주시 오포읍 신현리
무지개마트,3119583287,4.16103E+18,경기도 광주시 오포읍 신현리
emart24 광주타운점,31N1553986,4.16103E+18,경기도 광주시 오포읍 신현리
예일교회,3104113426,4.16103E+18,경기도 광주시 오포읍 신현리
(주)제이앤티,3117093791,4.16103E+18,경기도 광주시 오포읍 신현리
프리트레이딩,3119583376,4.16103E+18,경기도 광주시 오포읍 신현리
예가,1111105513,4.16103E+18,경기도 광주시 오포읍 신현리
창성시민교회,3114053451,4.16103E+18,경기도 광주시 오포읍 신현리
신전떡볶이 태재고개점,3115373344,4.16103E+18,경기도 광주시 오포읍 신현리
벨라앤독,1831501082,4.16103E+18,경기도 광주시 오포읍 신현리
머리해라,1831500572,4.16103E+18,경기도 광주시 오포읍 신현리
세븐일레븐 경기광주신현타운점,3117155710,4.16103E+18,경기도 광주시 오포읍 신현리
정화어린이집,3116418687,4.16103E+18,경기도 광주시 오포읍 신현리
D place(디플레이스),3117155719,4.16103E+18,경기도 광주시 오포읍 신현리
옳거니막국수냉면,3108134198,4.16103E+18,경기도 광주시 오포읍 신현리
육대장 오포점,3116426650,4.16103E+18,경기도 광주시 오포읍 신현리
비어힐즈,3117155819,4.16103E+18,경기도 광주시 오포읍 신현리
굿모닝치과,3117155828,4.16103E+18,경기도 광주시 오포읍 신현리
그랜드노래방,3114355259,4.16103E+18,경기도 광주시 오포읍 신현리
바른약국,3117155839,4.16103E+18,경기도 광주시 오포읍 신현리
손맛집,3109116782,4.16103E+18,경기도 광주시 오포읍 신현리
국수네 달구지막창,31N1555630,4.16103E+18,경기도 광주시 오포읍 신현리
더블유내과의원,3117155980,4.16103E+18,경기도 광주시 오포읍 신현리
요거프레소(오포점),3117155987,4.16103E+18,경기도 광주시 오포읍 신현리
큐당구장,3112118405,4.16103E+18,경기도 광주시 오포읍 신현리
e-편한세상 공인중개사 사무소,3115035606,4.16103E+18,경기도 광주시 오포읍 신현리
우정손칼국수,3106158220,4.16103E+18,경기도 광주시 오포읍 신현리
컴플러스,3113326014,4.16103E+18,경기도 광주시 오포읍 신현리
가락연합유통 주식회사,1831500749,4.16103E+18,경기도 광주시 오포읍 신현리
CU광주스타점,3111118666,4.16103E+18,경기도 광주시 오포읍 신현리
오포생생정육,1831500981,4.16103E+18,경기도 광주시 오포읍 신현리
태양 수산,1831501423,4.16103E+18,경기도 광주시 오포읍 신현리
라인,3115011223,4.16103E+18,경기도 광주시 오포읍 신현리
리얼매직 카오디오,3116427155,4.16103E+18,경기도 광주시 오포읍 신현리
Js Detailing,3115801914,4.16103E+18,경기도 광주시 오포읍 신현리
위버세차장,3117155995,4.16103E+18,경기도 광주시 오포읍 신현리
우리관리(주) e-편한세상2차 관리사무소,3116427145,4.16103E+18,경기도 광주시 오포읍 신현리
크린토피아 오포대림점,3109116998,4.16103E+18,경기도 광주시 오포읍 신현리
도경부동산,3114053452,4.16103E+18,경기도 광주시 오포읍 신현리
한결떡내음,3116422860,4.16103E+18,경기도 광주시 오포읍 신현리
일오일오포차,3119583451,4.16103E+18,경기도 광주시 오포읍 신현리
사운드 텍,3115289981,4.16103E+18,경기도 광주시 오포읍 신현리
왕대박곱창,3117156101,4.16103E+18,경기도 광주시 오포읍 신현리
한결,3119583530,4.16103E+18,경기도 광주시 오포읍 신현리
오대오칼국수,3117156116,4.16103E+18,경기도 광주시 오포읍 신현리
와궁,31N1555631,4.16103E+18,경기도 광주시 오포읍 신현리
와궁,3116427001,4.16103E+18,경기도 광주시 오포읍 신현리
주식회사 행랑채,1831500957,4.16103E+18,경기도 광주시 오포읍 신현리
행랑채,3117156227,4.16103E+18,경기도 광주시 오포읍 신현리
서가낙지,3116427013,4.16103E+18,경기도 광주시 오포읍 신현리
태재족발,3112118421,4.16103E+18,경기도 광주시 오포읍 신현리
청담사주,3119583614,4.16103E+18,경기도 광주시 오포읍 신현리
삼성공인중개사사무소,3115294378,4.16103E+18,경기도 광주시 오포읍 신현리
삼성공인중개사사무소,1831500329,4.16103E+18,경기도 광주시 오포읍 신현리
헤어웰,3114368448,4.16103E+18,경기도 광주시 오포읍 신현리
라이프하우징 공인중개사사무소,3117156240,4.16103E+18,경기도 광주시 오포읍 신현리
나래참치,3109116974,4.16103E+18,경기도 광주시 오포읍 신현리
대독장,1831501553,4.16103E+18,경기도 광주시 오포읍 신현리
금진기획,3102136232,4.16103E+18,경기도 광주시 오포읍 신현리
현대오포판매대리점,3105032234,4.16103E+18,경기도 광주시 오포읍 신현리
원광산업,3100448656,4.16103E+18,경기도 광주시 오포읍 신현리
(주)제이비텔레콤오포점,3117157827,4.16103E+18,경기도 광주시 오포읍 신현리
김영훈타이어(동분당점),3112118512,4.16103E+18,경기도 광주시 오포읍 신현리
이명훈타이어(동분당점),31N1555632,4.16103E+18,경기도 광주시 오포읍 신현리
한솔트로피,3116426848,4.16103E+18,경기도 광주시 오포읍 신현리
민우건설주식회사,3116426880,4.16103E+18,경기도 광주시 오포읍 신현리
새롬인테리어,3116426884,4.16103E+18,경기도 광주시 오포읍 신현리
분당곰탕,3114368422,4.16103E+18,경기도 광주시 오포읍 신현리
오포로뎀공인중개사,3116426894,4.16103E+18,경기도 광주시 오포읍 신현리
더맵닭,3117157930,4.16103E+18,경기도 광주시 오포읍 신현리
지니블룸,3119586489,4.16103E+18,경기도 광주시 오포읍 신현리
더골프존,3112117894,4.16103E+18,경기도 광주시 오포읍 신현리
뮤즈,3114353003,4.16103E+18,경기도 광주시 오포읍 신현리
(주)일원산업,3114353002,4.16103E+18,경기도 광주시 오포읍 신현리
궁전노래연습장,3117157938,4.16103E+18,경기도 광주시 오포읍 신현리
궁전 노래연습장,1831501450,4.16103E+18,경기도 광주시 오포읍 신현리
레이크스크린골프,3117158026,4.16103E+18,경기도 광주시 오포읍 신현리
마당발공인중개사,3102136255,4.16103E+18,경기도 광주시 오포읍 신현리
분당일품국수,3113487671,4.16103E+18,경기도 광주시 오포읍 신현리
양평신내서울해장국,3100447509,4.16103E+18,경기도 광주시 오포읍 신현리
