지형지물부호,지번주소,X좌표,Y좌표,데이터기준일
지류,경기도 광주시 곤지암읍 곤지암리305-1번지,37.33983415,127.3460846,2019-12-30
지류,경기도 광주시 오포읍 신현리740-1번지,37.35786495,127.1488221,2019-12-30
지류,경기도 광주시 곤지암읍 이선리412번지,37.3623566,127.4177225,2019-12-30
지류,경기도 광주시 남한산성면 엄미리591번지,37.47491034,127.2214846,2019-12-30
지류,경기도 광주시 곤지암읍 건업리4-96번지,37.407945,127.3842508,2019-12-30
지류,경기도 광주시 오포읍 문형리613-9번지,37.33686265,127.2035549,2019-12-30
지류,경기도 광주시 초월읍 서하리158-1번지,37.43184593,127.3067101,2019-12-30
지류,경기도 광주시 도척면 유정리188-12번지,37.29242909,127.3302756,2019-12-30
지류,경기도 광주시 오포읍 신현리14번지,37.37553245,127.1777761,2019-12-30
지류,경기도 광주시 곤지암읍 이선리484-58번지,37.34753799,127.4167983,2019-12-30
지류,경기도 광주시 곤지암읍 유사리332-21번지,37.37090454,127.4079242,2019-12-30
지류,경기도 광주시 퇴촌면 도마리294-4번지,37.46056507,127.2695273,2019-12-30
지류,경기도 광주시 오포읍 추자리60-2번지,37.36814524,127.2248113,2019-12-30
지류,경기도 광주시 남종면 검천리565-1번지,37.52402297,127.3408861,2019-12-30
지류,경기도 광주시 곤지암읍 봉현리632번지,37.33955357,127.3915572,2019-12-30
지류,경기도 광주시 곤지암읍 부항리123-3번지,37.35458587,127.4115853,2019-12-30
지류,경기도 광주시 오포읍 신현리255번지,37.36657001,127.1705016,2019-12-30
지류,경기도 광주시 남종면 이석리158번지,37.499663,127.2710473,2019-12-30
지류,경기도 광주시 도척면 추곡리264번지,37.28007475,127.2914686,2019-12-30
지류,경기도 광주시 곤지암읍 연곡리436-1번지,37.37053565,127.3885077,2019-12-30
지류,경기도 광주시 초월읍 신월리198-3번지,37.4000965,127.3152812,2019-12-30
지류,경기도 광주시 남한산성면 상번천리431번지,37.45041791,127.2649918,2019-12-30
지류,경기도 광주시 도척면 도웅리산5번지,37.33793868,127.3120867,2019-12-30
지류,경기도 광주시 곤지암읍 부항리35번지,37.34992892,127.4101203,2019-12-30
지류,경기도 광주시 남종면 삼성리31번지,37.48186419,127.2928956,2019-12-30
지류,경기도 광주시 남한산성면 상번천리805-2번지,37.44889716,127.2755628,2019-12-30
지류,경기도 광주시 경안동231-1번지,37.40504402,127.2499032,2019-12-30
지류,경기도 광주시 도척면 진우리418-5번지,37.32062693,127.3354981,2019-12-30
지류,경기도 광주시 퇴촌면 영동리200번지,37.47347942,127.3805153,2019-12-30
지류,경기도 광주시 곤지암읍 봉현리180-3번지,37.34698519,127.4017007,2019-12-30
지류,경기도 광주시 퇴촌면 도마리103-1번지,37.46954736,127.2722211,2019-12-30
지류,경기도 광주시 곤지암읍 열미리542-49번지,37.35992528,127.3553481,2019-12-30
지류,경기도 광주시 퇴촌면 도수리221번지,37.47281315,127.3277457,2019-12-30
지류,경기도 광주시 곤지암읍 장심리367-3번지,37.38665589,127.3919456,2019-12-30
지류,경기도 광주시 오포읍 문형리494-4번지,37.33955374,127.2098127,2019-12-30
지류,경기도 광주시 곤지암읍 봉현리427-6번지,37.34427943,127.399431,2019-12-30
지류,경기도 광주시 곤지암읍 봉현리29번지,37.3416571,127.4119906,2019-12-30
지류,경기도 광주시 퇴촌면 원당리283-5번지,37.43404311,127.3220238,2019-12-30
지류,경기도 광주시 목동142-79번지,37.37796239,127.2050634,2019-12-30
지류,경기도 광주시 도척면 방도리224-2번지,37.27944585,127.3418475,2019-12-30
지류,경기도 광주시 퇴촌면 광동리116번지,37.46639082,127.3124625,2019-12-30
지류,경기도 광주시 퇴촌면 정지리94-1번지,37.44983707,127.3185361,2019-12-30
지류,경기도 광주시 곤지암읍 열미리232-10번지,37.36153753,127.3703036,2019-12-30
지류,경기도 광주시 남한산성면 불당리322번지,37.45322739,127.21148,2019-12-30
지류,경기도 광주시 초월읍 무갑리225-1번지,37.41616616,127.3268617,2019-12-30
지류,경기도 광주시 퇴촌면 원당리171-4번지,37.4361488,127.3183888,2019-12-30
지류,경기도 광주시 남한산성면 검복리203번지,37.46389075,127.2012735,2019-12-30
지류,경기도 광주시 오포읍 신현리1149번지,37.36688436,127.1742238,2019-12-30
지류,경기도 광주시 남종면 수청리1056번지,37.50174085,127.3675699,2019-12-30
지류,경기도 광주시 도척면 상림리산17-23번지,37.30781818,127.2867078,2019-12-30
지류,경기도 광주시 도척면 도웅리323-5번지,37.34160834,127.303205,2019-12-30
지류,경기도 광주시 곤지암읍 곤지암리506-9번지,37.33803846,127.3407508,2019-12-30
지류,경기도 광주시 곤지암읍 이선리484-72번지,37.35241153,127.4238832,2019-12-30
지류,경기도 광주시 도척면 상림리173-3번지,37.31122492,127.2913123,2019-12-30
지류,경기도 광주시 퇴촌면 도마리90번지,37.46964808,127.2754195,2019-12-30
지류,경기도 광주시 곤지암읍 열미리26번지,37.3929263,127.3592223,2019-12-30
지류,경기도 광주시 오포읍 능평리456-17번지,37.35523595,127.1643162,2019-12-30
지류,경기도 광주시 남종면 귀여리547-50번지,37.50661915,127.3132143,2019-12-30
지류,경기도 광주시 장지동192-1번지,37.39327215,127.2450624,2019-12-30
지류,경기도 광주시 곤지암읍 삼리496-4번지,37.35013077,127.3168066,2019-12-30
지류,경기도 광주시 곤지암읍 수양리367-29번지,37.31842455,127.369478,2019-12-30
