성지명,소재지 도로명주소,소재지 지번주소,위도,경도,교통편,주변 관광지,홈페이지,관리기관 전화번호,관리기관명,데이터기준일자
미리내성지,경기도 안성시 양성면 미리내성지로 420,경기도 안성시 양성면 미산리 12-1,37.14842289,127.2591385,"안성종합버스터미널에서 60, 60-3번 버스 → 미리내성지 하차","미리내마을, 조병화문학관, 양성향교, 덕봉서원, 정무공오정방고택, 안성3.1운동기념관",http://www.mirinai.or.kr/,031-678-2495,안성시청,2021-03-15
죽산성지,경기도 안성시 일죽면 종배길 115,경기도 안성시 일죽면 죽림리 703-6,37.07496917,127.4493988,"안성종합버스터미널 버스정류소 → 죽산방면 37, 370, 380번 버스 → 죽산성지 앞 하차","칠장사, 서일농원, 죽주산성, 안성내츄럴리조트. 영창대군묘, 흔들바위, 죽산향교, 매산리석불입상(태평미륵), 용설호수",http://www.juksanshrine.org/,031-678-2495,안성시청,2021-03-15
안성성당,경기도 안성시 혜산로 33,경기도 안성시 구포동 80-1,37.01084263,127.2745196,"안성종합버스터미널 50-1,50-2,50-3,50-7번 버스 → 금산로터리 하차(도보 3분)","안성마춤유기공방, 안성향교, 비봉산, 안성시장, 중앙시장, 안성낙원역사공원",,031-678-2495,안성시청,2021-03-15
