업소명,업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,객실수,위도,경도,데이터기준일자
해피투데이,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로491번길 79-20,경기도 가평군 조종면 신상리 260-9,3,37.85402909,127.3502122,2021-06-09
은행나무 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 242-44,경기도 가평군 가평읍 승안리 278-3,5,37.8471116,127.4886451,2021-06-09
남이섬리베라펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1088-13,경기도 가평군 가평읍 달전리 54-4,3,37.80978609,127.5244821,2021-06-09
에벤에셀,민박,내국인+외국인,없음,경기도 가평군 가평읍 잎너비길 17-177,경기도 가평군 가평읍 읍내리 76-3,2,37.85398858,127.5117312,2021-06-09
노리터 펜션,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 279-55,경기도 가평군 상면 행현리 581-5,3,37.75205107,127.3627687,2021-06-09
여울펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 1943-138,경기도 가평군 설악면 회곡리 28-2,5,37.68171501,127.4701164,2021-06-09
앳더몬&캠핑장,민박,내국인+외국인,없음,경기도 가평군 상면 원흥길 52-127,경기도 가평군 상면 원흥리 515-2,3,37.82025401,127.3222386,2021-06-09
해오름펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 안대성길 23,경기도 가평군 청평면 대성리 358-1,4,37.69631248,127.3790129,2021-06-09
흙집펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 87,경기도 가평군 가평읍 하색리 701-16,2,37.80618116,127.4772686,2021-06-09
메이데이,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 87-29,경기도 가평군 북면 제령리 543-5,5,37.89744814,127.5224979,2021-06-09
도마치밸리,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 3594,경기도 가평군 북면 적목리 584-2,4,38.02727699,127.4426878,2021-06-09
보니타펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로1556번길 66-46,경기도 가평군 청평면 삼회리 567-1,2,37.65588684,127.3875474,2021-06-09
가둘기정원키즈풀빌라&스파,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 115-82,경기도 가평군 북면 제령리 611-4,4,37.90034234,127.5163338,2021-06-09
아르노펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 2108,경기도 가평군 설악면 회곡리 247-1,5,37.69488057,127.4600499,2021-06-09
보쏭,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 115-80,경기도 가평군 북면 제령리 611-2,5,37.90036935,127.516584,2021-06-09
리더스펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 호반로 1025-22,경기도 가평군 청평면 고성리 578-7,5,37.7131569,127.4890513,2021-06-09
은계한옥민박,민박,내국인+외국인,없음,경기도 가평군 조종면 대보간선로611번길 11,경기도 가평군 조종면 대보리 73-2,4,37.799256,127.391147,2021-06-09
펜션레몬,민박,내국인+외국인,없음,경기도 가평군 가평읍 잎너비길 17-50,경기도 가평군 가평읍 읍내리 98-5,6,37.84904963,127.508866,2021-06-09
옹달샘펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 108,경기도 가평군 설악면 가일리 226-5,5,37.59305288,127.4887291,2021-06-09
산사랑물사랑,민박,내국인+외국인,없음,경기도 가평군 설악면 미사리로 760-1,경기도 가평군 설악면 미사리 486-2,1,37.71776414,127.5436841,2021-06-09
람원,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2669,경기도 가평군 북면 적목리 145,2,37.97022208,127.4560757,2021-06-09
ROWA,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로 2167,경기도 가평군 청평면 삼회리 95-9,7,37.70893224,127.3993343,2021-06-09
아모르미오,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 65-1,경기도 가평군 북면 제령리 534-17,4,37.89711412,127.5251252,2021-06-09
코스모스펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 미사리로 736-48,경기도 가평군 설악면 미사리 470-1,2,37.71533934,127.54425,2021-06-09
메이플 베이(maple bay),민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 900,경기도 가평군 가평읍 이화리 19-2외 3필지,5,37.79743011,127.5183443,2021-06-09
시간이 멈춘마을,민박,내국인+외국인,없음,경기도 가평군 청평면 수리재길 322-79,경기도 가평군 청평면 상천리 715-5,4,37.79061707,127.433978,2021-06-09
숲향,민박,내국인+외국인,없음,경기도 가평군 청평면 상천고갯길 149-9,경기도 가평군 청평면 상천리 126-1,3,37.79018918,127.466586,2021-06-09
비시오네,민박,내국인+외국인,없음,경기도 가평군 북면 멱골로 316,경기도 가평군 북면 목동리 318-8,4,37.91677496,127.5787176,2021-06-09
늘푸른펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 오리동길 11-20,경기도 가평군 청평면 대성리 526-2,2,37.69533141,127.3637581,2021-06-09
라고스테마,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1462-7,경기도 가평군 북면 제령리 617-8,6,37.89661171,127.5092243,2021-06-09
휘슬펜션,민박,내국인+외국인,없음,경기도 가평군 조종면 명지산로 513,경기도 가평군 조종면 상판리 143-1,2,37.91421915,127.3826615,2021-06-09
뜨레모아,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 70,경기도 가평군 북면 제령리 534-16,4,37.89761894,127.5247159,2021-06-09
하늘마루,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길403번길 69,경기도 가평군 북면 적목리 300-3,2,37.96304781,127.4215177,2021-06-09
까사베르디,민박,내국인+외국인,없음,경기도 가평군 북면 멱골로 322,경기도 가평군 북면 목동리 318-7,4,37.91700031,127.5786838,2021-06-09
제이슨,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 71,경기도 가평군 북면 제령리 535-1,3,37.89708732,127.5240105,2021-06-09
미엔느 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 216,경기도 가평군 가평읍 승안리 285-6,7,37.84612908,127.4877473,2021-06-09
보랏빛향기,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 279-86,경기도 가평군 상면 행현리 592,5,37.75089802,127.3633271,2021-06-09
아트루,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 95-17,경기도 가평군 청평면 호명리 162-10 외 1필지,5,37.72422002,127.463166,2021-06-09
써니풀,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 95-15,경기도 가평군 청평면 호명리 162-1 외 1필지,5,37.72399462,127.4629505,2021-06-09
연인산스토리,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로467번길 36-26,경기도 가평군 북면 백둔리 484,5,37.90230895,127.4555815,2021-06-09
그랑도랑,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길 187-34,경기도 가평군 북면 적목리 266,4,37.96391568,127.4415075,2021-06-09
안젤로,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2372-37,경기도 가평군 북면 도대리 324-14,4,37.95432924,127.4773824,2021-06-09
춘향이와 방자,민박,내국인+외국인,없음,경기도 가평군 북면 멱골로 314,경기도 가평군 북면 목동리 318-10,6,37.91652259,127.5787288,2021-06-09
아다마스,민박,내국인+외국인,없음,경기도 가평군 상면 안말길 55-91,경기도 가평군 상면 상동리 288,2,37.78410172,127.2842351,2021-06-09
아이유 펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 명장길 80-35,경기도 가평군 설악면 신천리 762-2,5,37.66882827,127.4820956,2021-06-09
파란하늘빛 펜션,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 391-36,경기도 가평군 상면 행현리 660-10,6,37.74607343,127.3537445,2021-06-09
토마토 펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 3087-10,경기도 가평군 북면 적목리 487-1,4,37.98935899,127.4410888,2021-06-09
하늘다리 시즌 2,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로467번길 2-20,경기도 가평군 북면 백둔리 381,5,37.9030665,127.4567981,2021-06-09
모데르노,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 286-27,경기도 가평군 상면 행현리 540-3,6,37.75472517,127.3603458,2021-06-09
로데오,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 286-21,경기도 가평군 상면 행현리 540-2,1,37.7544812,127.3598354,2021-06-09
샤갈의마을,민박,내국인+외국인,없음,경기도 가평군 청평면 고재길 251-27,경기도 가평군 청평면 고성리 115,2,37.70513496,127.5115715,2021-06-09
휴플러스3,민박,내국인+외국인,없음,경기도 가평군 북면 용수목길 18,경기도 가평군 북면 적목리 498-1,3,37.98809485,127.4366143,2021-06-09
1·2·3·4,민박,내국인+외국인,없음,경기도 가평군 설악면 회곡안골길 78-12,경기도 가평군 설악면 회곡리 637,4,37.69824658,127.4473433,2021-06-09
소설민박,민박,내국인+외국인,없음,경기도 가평군 설악면 묵안로 609,경기도 가평군 설악면 설곡리 491-1,3,37.62584365,127.5143923,2021-06-09
별소네,민박,내국인+외국인,없음,경기도 가평군 설악면 묵안로 607,경기도 가평군 설악면 설곡리 491-2,3,37.62613207,127.5144717,2021-06-09
아다지오,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 218,경기도 가평군 가평읍 승안리 285-1,6,37.84637243,127.4877245,2021-06-09
해뜨락,민박,내국인+외국인,없음,경기도 가평군 상면 깃대봉길 17-23,경기도 가평군 상면 덕현리 162-40,1,37.75568556,127.4008603,2021-06-09
파트라슈,민박,내국인+외국인,없음,경기도 가평군 상면 축령로70번길 59-25(A동),경기도 가평군 상면 행현리 168(A동),5,37.77762991,127.3621082,2021-06-09
운암골,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길 506-3,경기도 가평군 북면 적목리 323-1,4,37.96864653,127.4111969,2021-06-09
자연속의 휴식공간,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2555-17,경기도 가평군 북면 도대리 492-6,4,37.96418691,127.4667805,2021-06-09
캐빈빌리지 펜션,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 729-46,경기도 가평군 북면 화악리 706-2,11,37.93290388,127.5546217,2021-06-09
보니또,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 2372-31,경기도 가평군 북면 도대리 324-5,5,37.95421209,127.4774507,2021-06-09
레이크 테라스,민박,내국인+외국인,없음,경기도 가평군 청평면 호반로 1007,경기도 가평군 청평면 고성리 764-5,3,37.7110386,127.4874519,2021-06-09
아미띠에,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로467번길 36-41,경기도 가평군 북면 백둔리 482-11,6,37.9021913,127.4543076,2021-06-09
루체른 펜션,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 108,경기도 가평군 북면 제령리 556-3,4,37.899305,127.5215885,2021-06-09
청평휴양림펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로2246번길 8-117,경기도 가평군 청평면 삼회리 26,4,37.712166,127.4078732,2021-06-09
카르페디엠,민박,내국인+외국인,없음,경기도 가평군 가평읍 경반안로 37,경기도 가평군 가평읍 경반리 36-2,5,37.83536802,127.4995455,2021-06-09
저녁향기,민박,내국인+외국인,없음,경기도 가평군 상면 돌아우길 25-101,경기도 가평군 상면 상동리 85,5,37.78661927,127.3238978,2021-06-09
아이리스,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 246,경기도 가평군 청평면 호명리 50-1,3,37.73529063,127.4712979,2021-06-09
스카이 리버,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로 1588-7,경기도 가평군 청평면 삼회리 599-3,2,37.66328051,127.3810734,2021-06-09
나무 펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로2246번길 8-109,경기도 가평군 청평면 삼회리 26-1,2,37.71175115,127.4075674,2021-06-09
숲속 나들이 펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1462-37,경기도 가평군 북면 제령리 624-16,5,37.89741396,127.5080415,2021-06-09
겟세마니 동산,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로596번길 78-20,경기도 가평군 가평읍 두밀리 594-4,3,37.81256211,127.4303116,2021-06-09
올댓워터,민박,내국인+외국인,없음,경기도 가평군 가평읍 호반로 1705,경기도 가평군 가평읍 산유리 105-9,3,37.74733528,127.5120094,2021-06-09
가평하늘정원,민박,내국인+외국인,없음,"경기도 가평군 북면 가화로 2095(1,2동)","경기도 가평군 북면 도대리 234-1(1,2동)",5,37.93605267,127.490145,2021-06-09
첫눈애,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로 242,경기도 가평군 북면 백둔리 106-2,8,37.90232467,127.4801396,2021-06-09
라비아,민박,내국인+외국인,없음,경기도 가평군 상면 임초밤안골로 233,경기도 가평군 상면 임초리 607-6,1,37.75074808,127.3661879,2021-06-09
별,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1462-14,경기도 가평군 북면 제령리 622-13,5,37.89714346,127.5094859,2021-06-09
꼬리별,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1462-6,경기도 가평군 북면 제령리 622-15,5,37.89685503,127.5096906,2021-06-09
청평 물소리 펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 81-11,경기도 가평군 청평면 호명리 165-7,3,37.72351703,127.4633252,2021-06-09
동반풀빌라,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로596번길 84,경기도 가평군 가평읍 두밀리 602-2,7,37.81117373,127.4297221,2021-06-09
올가 펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로406번길 250,경기도 가평군 가평읍 두밀리 448,3,37.82824901,127.4373876,2021-06-09
드림,민박,내국인+외국인,없음,경기도 가평군 청평면 수리재길 414,경기도 가평군 청평면 상천리 798-9,4,37.79730645,127.4368458,2021-06-09
즐거운 소풍,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 291,경기도 가평군 상면 행현리 565-1,3,37.75316611,127.360553,2021-06-09
끄레아 풀빌라 앤 키즈펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 경반안로 323-13,경기도 가평군 가평읍 경반리 579-5,6,37.82919955,127.4714093,2021-06-09
기린 하우스,민박,내국인+외국인,없음,경기도 가평군 설악면 회곡안골길 135,경기도 가평군 설악면 회곡리 706,2,37.69616208,127.4421836,2021-06-09
알리에,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길 19-11,경기도 가평군 북면 도대리 526-3,4,37.96835702,127.4577845,2021-06-09
아모르 루시,민박,내국인+외국인,없음,경기도 가평군 북면 꽃넘이길 69,경기도 가평군 북면 제령리 515-15,4,37.89738468,127.5243405,2021-06-09
자유시간,민박,내국인+외국인,없음,경기도 가평군 청평면 안대성길 45,경기도 가평군 청평면 대성리 359-8,3,37.69693336,127.3780024,2021-06-09
소풍민박,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 184-147,경기도 가평군 설악면 가일리 107-2,2,37.59514425,127.5084733,2021-06-09
슐라프라움 Ⅰ,민박,내국인+외국인,없음,경기도 가평군 상면 돌아우길 97-1,경기도 가평군 상면 상동리 32-3,3,37.78468558,127.3206771,2021-06-09
한마음펜션,민박,내국인+외국인,없음,경기도 가평군 북면 싸리재길 66-4,경기도 가평군 북면 목동리 403-5,7,37.8976071,127.5742955,2021-06-09
땡큐펜션,민박,내국인+외국인,없음,경기도 가평군 상면 비룡로 1689,경기도 가평군 상면 상동리 239-10,3,37.78450184,127.2963515,2021-06-09
별빛마루,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길403번길 61,경기도 가평군 북면 적목리 300-4,3,37.96392249,127.4221429,2021-06-09
여울의 뜰,민박,내국인+외국인,없음,경기도 가평군 북면 이곡둑길 147,경기도 가평군 북면 이곡리 13-64,6,37.88065756,127.5494659,2021-06-09
다큐하우스,민박,내국인+외국인,없음,경기도 가평군 청평면 안대성길 2,경기도 가평군 청평면 대성리 337,2,37.69679337,127.3821543,2021-06-09
목동민박,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 969,경기도 가평군 북면 이곡리 72-3,2,37.88276767,127.5469087,2021-06-09
청우산장,민박,내국인+외국인,없음,경기도 가평군 상면 대보간선로 762,경기도 가평군 상면 항사리 19,3,37.79375121,127.3936539,2021-06-09
가람민박,민박,내국인+외국인,없음,경기도 가평군 청평면 관터길 91,경기도 가평군 청평면 대성리 332-31,1,37.69643538,127.3847297,2021-06-09
비자보나 펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 한서로 501-35,경기도 가평군 설악면 위곡리 15-32,1,37.66427913,127.5427344,2021-06-09
산들애,민박,내국인+외국인,없음,경기도 가평군 가평읍 쇠내골길 65-9,경기도 가평군 가평읍 금대리 833-16,3,37.75060562,127.5222377,2021-06-09
그레이트캠프 르푸앙(GREATCAMP Le Point),민박,내국인+외국인,없음,경기도 가평군 청평면 호반로 764(B동),경기도 가평군 청평면 호명리 339-3(B동),4,37.70831309,127.468699,2021-06-09
아쉬람펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 뽕나뭇골길 31-6,경기도 가평군 설악면 천안리 210,4,37.64252683,127.4804357,2021-06-09
에일린에이,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 522-72,경기도 가평군 가평읍 두밀리 337,5,37.81620135,127.4432149,2021-06-09
에일린비,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 522-68,경기도 가평군 가평읍 두밀리 337-3,5,37.81607526,127.4434081,2021-06-09
아일랜드코쿤,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로 21-63(A동),경기도 가평군 북면 제령리 654(A동),4,37.89738715,127.5031848,2021-06-09
가평해피데이펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 잎너비길 17-122,경기도 가평군 가평읍 읍내리 78-2,3,37.85229425,127.5102418,2021-06-09
듀크펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 안대성길 67,경기도 가평군 청평면 대성리 362-2,4,37.69825644,127.3761966,2021-06-09
가평계곡펜션루안,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로133번길 47,경기도 가평군 북면 백둔리 88-10,3,37.89596227,127.4857714,2021-06-09
비비드,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 3000,경기도 가평군 북면 적목리 485-3,4,37.98379745,127.4399659,2021-06-09
건아들 펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 모꼬지로 21,경기도 가평군 청평면 대성리 586-11,4,37.68094982,127.3752954,2021-06-09
펜션곰,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로133번길 34,경기도 가평군 북면 백둔리 88-3,4,37.89661133,127.4868177,2021-06-09
청풍명월,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 2429,경기도 가평군 설악면 회곡리 741-14,5,37.71452153,127.440683,2021-06-09
채송화하우스,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1420-60,경기도 가평군 북면 제령리 641,1,37.90196526,127.5115795,2021-06-09
샘물향기,민박,내국인+외국인,없음,경기도 가평군 청평면 수리재길 322-70,경기도 가평군 청평면 상천리 721-4,4,37.78955412,127.4350806,2021-06-09
자라스파펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1088-21,경기도 가평군 가평읍 달전리 57-1,7,37.81026372,127.5248231,2021-06-09
모이스티 펜션,민박,내국인+외국인,없음,경기도 가평군 상면 청군로 776-98,경기도 가평군 상면 임초리 480,6,37.78146515,127.3742864,2021-06-09
드보르,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 1441-30,경기도 가평군 설악면 신천리 719-24,3,37.65980543,127.4795695,2021-06-09
2pm,민박,내국인+외국인,없음,"경기도 가평군 상면 청군로 690-12(가,나동)","경기도 가평군 상면 임초리 409(가,나동)",5,37.77395594,127.3731863,2021-06-09
박하사탕,민박,내국인+외국인,없음,경기도 가평군 가평읍 호반로 2388,경기도 가평군 가평읍 이화리 326-2,6,37.80255038,127.5124273,2021-06-09
마당과 다락방,민박,내국인+외국인,없음,경기도 가평군 상면 임초밤안골로 119-119,경기도 가평군 상면 임초리 132,2,37.75624054,127.3775872,2021-06-09
보보,민박,내국인+외국인,없음,경기도 가평군 상면 왕대벌길 113-83,경기도 가평군 상면 임초리 123-4,3,37.76429636,127.3756438,2021-06-09
산넘어,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로371번길 77-32,경기도 가평군 조종면 신상리 262-26,4,37.85134118,127.348649,2021-06-09
남이섬여행펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 854,경기도 가평군 가평읍 이화리 41-13,4,37.7946267,127.5201723,2021-06-09
가평우리펜션,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로 21-101,경기도 가평군 북면 제령리 648-1,4,37.8980271,127.5021042,2021-06-09
가르텐하임,민박,내국인+외국인,없음,경기도 가평군 북면 백둔로 549-91,경기도 가평군 북면 백둔리 579-9,5,37.90473078,127.4489597,2021-06-09
힐스토리펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 57-152,경기도 가평군 청평면 호명리 146-111,5,37.72556997,127.4570943,2021-06-09
자라섬게스트 하우스,민박,내국인+외국인,없음,경기도 가평군 가평읍 오리나무길 51,경기도 가평군 가평읍 대곡리 177-1,5,37.82322643,127.5141806,2021-06-09
슈에뜨,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 134,경기도 가평군 청평면 호명리 110,1,37.72654641,127.4663309,2021-06-09
육각수어비산장,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 114-28,경기도 가평군 설악면 가일리 135-3,2,37.59666776,127.5044067,2021-06-09
별내리는 펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 남이터길 52-49,경기도 가평군 청평면 대성리 430-10,3,37.68982683,127.374203,2021-06-09
프로방스 펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 북한강로2010번길 112,경기도 가평군 청평면 삼회리 180-6,5,37.69732678,127.3933267,2021-06-09
산아래펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 110,경기도 가평군 설악면 가일리 226-6,4,37.59304382,127.4882307,2021-06-09
딱다구리,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 389-3,경기도 가평군 가평읍 두밀리 6,1,37.81536996,127.459826,2021-06-09
청평 하늘연 펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 유명로 1943-55,경기도 가평군 설악면 회곡리 28-13,1,37.68239107,127.4703657,2021-06-09
여우별,민박,내국인+외국인,없음,경기도 가평군 상면 임초밤안골로 150-20,경기도 가평군 상면 임초리 174-4,5,37.75677372,127.3704683,2021-06-09
모닥불,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 729-12,경기도 가평군 북면 화악리 708-1,1,37.9333453,127.5550999,2021-06-09
가평달빛마을,민박,내국인+외국인,없음,경기도 가평군 청평면 수리재길 322-135,경기도 가평군 청평면 상천리 701-4,2,37.79019501,127.4368291,2021-06-09
G.O.M.E.T 263,민박,내국인+외국인,없음,경기도 가평군 가평읍 용추로 227-98(A동),경기도 가평군 가평읍 승안리 263-2(A동),3,37.84481305,127.4867473,2021-06-09
스머프 하우스,민박,내국인+외국인,없음,경기도 가평군 조종면 운악청계로371번길 89,경기도 가평군 조종면 신상리 262-1,1,37.85180959,127.3484321,2021-06-09
밤골 펜션,민박,내국인+외국인,없음,경기도 가평군 북면 싸리재길 2,경기도 가평군 북면 목동리 676-4,1,37.89605207,127.5672649,2021-06-09
유명산골,민박,내국인+외국인,없음,경기도 가평군 설악면 유명산길 114,경기도 가평군 설악면 가일리 226-1,2,37.59267426,127.4881515,2021-06-09
가평 이한 별장,민박,내국인+외국인,없음,경기도 가평군 청평면 수리재길 175,경기도 가평군 청평면 상천리 1076-10,1,37.77902718,127.4360097,2021-06-09
테라스엔 별이2,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 279-9,경기도 가평군 상면 행현리 533,1,37.75368086,127.3613921,2021-06-09
테라스엔 별이3,민박,내국인+외국인,없음,경기도 가평군 상면 수목원로 279-9,경기도 가평군 상면 행현리 533,1,37.75368086,127.3613921,2021-06-09
프리모,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 1422-11,경기도 가평군 북면 제령리 633-1,5,37.90009962,127.5109195,2021-06-09
스카이정원,민박,내국인+외국인,없음,경기도 가평군 청평면 호명리길 58-5,경기도 가평군 청평면 호명리 176-3,5,37.720948,127.4625663,2021-06-09
오페라 레이크 사이드,민박,내국인+외국인,없음,경기도 가평군 청평면 고재길 262-21,경기도 가평군 청평면 고성리 59,3,37.70273689,127.5160181,2021-06-09
세이지,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 237,경기도 가평군 가평읍 하색리 779-17,7,37.81267788,127.4693366,2021-06-09
이모네 민박,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 1097,경기도 가평군 가평읍 달전리 210-1,6,37.81000274,127.5228349,2021-06-09
가평모닝필하우스,민박,내국인+외국인,없음,경기도 가평군 상면 청우산2길 42-20,경기도 가평군 상면 덕현리 332,3,37.76673228,127.3967354,2021-06-09
천상지애,민박,내국인+외국인,없음,경기도 가평군 가평읍 경반안로 357-27,경기도 가평군 가평읍 경반리 583-19,4,37.8316146,127.4694992,2021-06-09
힐링마인드,민박,내국인+외국인,없음,경기도 가평군 청평면 고재길 13-14,경기도 가평군 청평면 고성리 414-3,5,37.71484284,127.5037215,2021-06-09
하늘아래펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 214-26,경기도 가평군 설악면 가일리 126-2,2,37.59244007,127.5100815,2021-06-09
하늘산책펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 322-11,경기도 가평군 가평읍 금대리 139-18,5,37.75696544,127.5365097,2021-06-09
모닝힐,민박,내국인+외국인,없음,경기도 가평군 청평면 큰갈월로1번길 14,경기도 가평군 청평면 대성리 90-19,4,37.72070575,127.4018147,2021-06-09
별마루 펜션,민박,내국인+외국인,없음,경기도 가평군 상면 깃대봉길 17-33,경기도 가평군 상면 덕현리 162-61,1,37.75501753,127.3996238,2021-06-09
산내들펜션,민박,내국인+외국인,없음,경기도 가평군 설악면 어비산길 154,경기도 가평군 설악면 가일리 95-1,4,37.59576622,127.5080202,2021-06-09
힐하우스,민박,내국인+외국인,없음,경기도 가평군 상면 청군로 734,경기도 가평군 상면 임초리 452-8,2,37.77715285,127.3706144,2021-06-09
휴성펜션,민박,내국인+외국인,없음,경기도 가평군 북면 가화로 3169-23,경기도 가평군 북면 적목리 553-22,6,37.99397181,127.4376228,2021-06-09
아트펜션,민박,내국인+외국인,없음,경기도 가평군 청평면 고재길 13-30,경기도 가평군 청평면 고성리 414-7,3,37.71492393,127.5045839,2021-06-09
루비노펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 호반로 1515-34,경기도 가평군 가평읍 복장리 432,6,37.733879,127.5028713,2021-06-09
품에,민박,내국인+외국인,없음,경기도 가평군 가평읍 북한강변로 47-2,경기도 가평군 가평읍 산유리 9-5,2,37.74630709,127.5174123,2021-06-09
깊은산계곡산장,민박,내국인+외국인,없음,경기도 가평군 북면 화악산로 1359-15,경기도 가평군 북면 화악리 1072-4,6,37.97152552,127.5248204,2021-06-09
하루가평펜션,민박,내국인+외국인,없음,경기도 가평군 가평읍 태봉두밀로 475,경기도 가평군 가평읍 두밀리 191-5,3,37.81475373,127.4510099,2021-06-09
우리집펜션유원지,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길 19-16,경기도 가평군 북면 도대리 528,2,37.96782519,127.4576027,2021-06-09
신비펜션 1,민박,내국인+외국인,없음,경기도 가평군 북면 논남기길 492-33,경기도 가평군 북면 적목리 322-4,2,37.96886317,127.4116292,2021-06-09
