지형지물부호,지번주소,X좌표,Y좌표,데이터기준일자
호수,경기도 광주시 곤지암읍 곤지암리92-13번지,37.34924423,127.3564438,2019-12-28
호수,경기도 광주시 초월읍 지월리595번지,37.41592169,127.2911311,2019-12-28
호수,경기도 광주시 초월읍 지월리813-18번지,37.41262066,127.2906199,2019-12-28
호수,경기도 광주시 남한산성면 불당리294번지,37.45174344,127.2132588,2019-12-28
호수,경기도 광주시 퇴촌면 도수리468번지,37.47389003,127.3222301,2019-12-28
호수,경기도 광주시 초월읍 지월리729-23번지,37.4198252,127.2854342,2019-12-28
호수,경기도 광주시 퇴촌면 원당리346-1번지,37.43477259,127.3172487,2019-12-28
호수,경기도 광주시 오포읍 신현리314번지,37.36429906,127.1704701,2019-12-28
호수,경기도 광주시 오포읍 능평리537-1번지,37.34645228,127.1594924,2019-12-28
호수,경기도 광주시 탄벌동545-5번지,37.40925125,127.2384749,2019-12-28
호수,경기도 광주시 직동207-3번지,37.40380274,127.1887179,2019-12-28
호수,경기도 광주시 오포읍 양벌리949-2번지,37.36844538,127.2461914,2019-12-28
호수,경기도 광주시 오포읍 양벌리294-3번지,37.38063718,127.2533189,2019-12-28
호수,경기도 광주시 곤지암읍 곤지암리367번지,37.35137049,127.3448673,2019-12-28
호수,경기도 광주시 남종면 삼성리166-2번지,37.48397329,127.2869846,2019-12-28
호수,경기도 광주시 도척면 추곡리397번지,37.28133465,127.2851868,2019-12-28
호수,경기도 광주시 오포읍 신현리341-21번지,37.36249922,127.1656695,2019-12-28
호수,경기도 광주시 쌍령동451번지,37.39663693,127.2701018,2019-12-28
호수,경기도 광주시 초월읍 무갑리14-2번지,37.41297785,127.3448181,2019-12-28
호수,경기도 광주시 송정동15-7번지,37.41604926,127.269123,2019-12-28
호수,경기도 광주시 초월읍 지월리729-89번지,37.42028063,127.284752,2019-12-28
호수,경기도 광주시 송정동200번지,37.42191125,127.2554521,2019-12-28
호수,경기도 광주시 오포읍 신현리1116-1번지,37.34223591,127.1382653,2019-12-28
호수,경기도 광주시 직동289-6번지,37.40005975,127.182964,2019-12-28
호수,경기도 광주시 초월읍 지월리595번지,37.41592169,127.2911311,2019-12-28
호수,경기도 광주시 오포읍 양벌리222-1번지,37.38618975,127.2564823,2019-12-28
호수,경기도 광주시 장지동4-1번지,37.39922974,127.2438733,2019-12-28
호수,경기도 광주시 송정동413-110번지,37.43101388,127.264379,2019-12-28
호수,경기도 광주시 남한산성면 오전리93번지,37.45068966,127.2339417,2019-12-28
호수,경기도 광주시 퇴촌면 도수리392-37번지,37.4671126,127.3204259,2019-12-28
호수,경기도 광주시 오포읍 문형리373번지,37.34524197,127.2169539,2019-12-28
호수,경기도 광주시 오포읍 추자리45-2번지,37.36696605,127.2222493,2019-12-28
호수,경기도 광주시 곤지암읍 신대리산5-7번지,37.36481614,127.3353917,2019-12-28
호수,경기도 광주시 회덕동172-9번지,37.43527464,127.2455455,2019-12-28
호수,경기도 광주시 곤지암읍 신대리277-17번지,37.35698176,127.3314985,2019-12-28
호수,경기도 광주시 곤지암읍 신대리19번지,37.3548786,127.3388881,2019-12-28
호수,경기도 광주시 도척면 궁평리186번지,37.33112135,127.3300909,2019-12-28
호수,경기도 광주시 목현동397-3번지,37.43236685,127.2086816,2019-12-28
호수,경기도 광주시 탄벌동439-5번지,37.41581564,127.2419897,2019-12-28
호수,경기도 광주시 오포읍 신현리1071번지,37.34799216,127.1392719,2019-12-28
호수,경기도 광주시 장지동202번지,37.38702997,127.2426066,2019-12-28
호수,경기도 광주시 탄벌동583번지,37.41716422,127.2303399,2019-12-28
호수,경기도 광주시 탄벌동747번지,37.42028819,127.2340815,2019-12-28
호수,경기도 광주시 목현동317번지,37.42919939,127.2106809,2019-12-28
호수,경기도 광주시 송정동373-3번지,37.43024075,127.2545788,2019-12-28
호수,경기도 광주시 남종면 삼성리294-1번지,37.49144105,127.2836456,2019-12-28
호수,경기도 광주시 오포읍 양벌리산118번지,37.37608989,127.2538268,2019-12-28
호수,경기도 광주시 초월읍 도평리186-7번지,37.39897227,127.2986997,2019-12-28
호수,경기도 광주시 퇴촌면 광동리362-3번지,37.46473052,127.3058872,2019-12-28
호수,경기도 광주시 초월읍 쌍동리368번지,37.36766569,127.2906699,2019-12-28
호수,경기도 광주시 경안동131-2번지,37.41350072,127.2491977,2019-12-28
호수,경기도 광주시 오포읍 추자리474-3번지,37.36043881,127.2189977,2019-12-28
호수,경기도 광주시 남한산성면 엄미리327번지,37.4725195,127.2292876,2019-12-28
호수,경기도 광주시 송정동430-5번지,37.43194462,127.2561439,2019-12-28
호수,경기도 광주시 삼동319번지,37.42145623,127.1995093,2019-12-28
호수,경기도 광주시 오포읍 양벌리1036-4번지,37.3766256,127.2530424,2019-12-28
호수,경기도 광주시 퇴촌면 원당리302-3번지,37.43201491,127.3234658,2019-12-28
호수,경기도 광주시 초월읍 산이리41-6번지,37.35815383,127.3127041,2019-12-28
호수,경기도 광주시 남한산성면 엄미리502번지,37.46970124,127.2158859,2019-12-28
호수,경기도 광주시 중대동290-1번지,37.40808188,127.2098968,2019-12-28
호수,경기도 광주시 퇴촌면 도수리528-3번지,37.47560871,127.3186758,2019-12-28
호수,경기도 광주시 회덕동129-3번지,37.43992549,127.2429223,2019-12-28
호수,경기도 광주시 목동497-1번지,37.37922403,127.1838785,2019-12-28
호수,경기도 광주시 탄벌동산100-4번지,37.41168724,127.2431722,2019-12-28
호수,경기도 광주시 장지동661번지,37.39955693,127.2330949,2019-12-28
호수,경기도 광주시 오포읍 신현리548-12번지,37.37870121,127.1644628,2019-12-28
호수,경기도 광주시 도척면 진우리894-3번지,37.30902763,127.3530407,2019-12-28
