저수지명,소재지주소,높이(m),길이(m),수혜면적(ha),총저수량(㎥),축조연도,관리주체,데이터기준일자
고막저수지,경기도 김포시 월곶면 고막리 97-1,4,146,12.5,31700,1946,김포시,2021-02-19
보구곶저수지,경기도 김포시 월곶면 보구곶리 161,9,130,5,46400,1965,김포시,2021-02-19
조강저수지,경기도 김포시 월곶면 조강리 227-9,3.5,149,6,29800,1937,김포시,2021-02-19
양택저수지,경기도 김포시 하성면 양택리 465-2,6.5,191,7.2,39100,1956,김포시,2021-02-19
장능저수지,경기도 김포시 풍무동 666-3,3.5,98,2.5,12600,1969,김포시,2021-02-19
성동저수지,경기도 김포시 월곶면 성동리 215-1,8,171,16.4,77000,1973,한국농어촌공사,2021-02-19
대벽저류지,경기도 김포시 대곶면 대벽리 652,6,1026,9.9,70680,1985,김포시,2021-02-19
