상영관명,소재지도로명주소,소재지지번주소,상영관(스크린),좌석,주차정보, 비고,데이터기준일자
CGV 김포한강,"경기도 김포시 걸포로 6 (걸포동, 케이팝리츠 김포빌딩 7층)","경기도 김포시 걸포동 1574-3 (걸포동, 케이팝리츠 김포빌딩 7층)",4,478,3시간무료(영화관람시),,2021-02-19
메가박스 김포한강신도시,"경기도 김포시 김포한강9로 75번길 180 (구래동, 두원타워) 8층","경기도 김포시 구래동 6882-4 (구래동, 두원타워) 8층",5,712,3시간무료(영화관람시),,2021-02-19
김포극장,"경기도 김포시 사우중로 52 (사우동, 김포아트프라자)","경기도 김포시 사우동 928 (사우동, 김포아트프라자)",5,500,주차불가,"상영관명 변경(전 CGV김포), 휴관중",2021-02-19
CGV 풍무,"경기도 김포시 풍무로 167 (풍무동, 홈플러스 지하1층)","경기도 김포시 풍무동 38-1 (풍무동, 홈플러스 지하1층)",2,192,무료,,2021-02-19
CGV 운양,"경기도 김포시 김포한강11로 288-31 (운양동, 에이스프라자 7층)","경기도 김포시 운양동 1296-9 (운양동, 에이스프라자 7층)",4,424,3시간무료(영화관람시),,2021-02-19
CGV 김포,"경기도 김포시 풍무로 128, 5층","경기도 김포시 풍무동 202-1, 5층",6,806,3시간무료(영화관람시),신규,2021-02-19
