시설명,소재지지번주소,조성면적(제곱미터),주요시설
모담산 유아숲체험원,"경기도 김포시 운양동 1325-1번지,(모담공원)",10000,"줄매달리기, 통나무오르내리기, 타오르기놀이, 통나무수직오르기 등"
통진 유아숲체험원,"경기도 김포시 통진읍 마송리 501번지,(금쌀공원)",10000,"숲속쉼터, 숲속오두막, 숲속미로원, 언덕오르기, 외나무다리건너기 등"
솔터힐링 숲체험원,"경기도 김포시 마산동 642-13번지,(솔터체육공원)",10000,"숲체험놀이시설, 명상숲길, 숲속쉼터,"
금빛 숲체험원,"경기도 김포시 장기동 2178-2번지,(금빛근린공원)",10000,"체험의숲, 숲속쉼터, 짚라인, 모험놀이대, 숲속교실 등"
양곡행복 숲체험원,"경기도 김포시 양곡로 413번지,(양곡제2근린공원) ",10000,"야외수업장, 숲속쉼터, 숲체험놀이터등"
