구,업종명,사업장명,영업상태,인허가일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적(㎡),소재지전체주소,도로명전체주소,데이터기준일자
분당구,일반음식점,애슐리W 미금역점,영업중,2018-07-25,-,-,-,-,60.35,경기도 성남시 분당구 구미동 9-1번지 분당엠코헤리츠 2층 227호 일부,"경기도 성남시 분당구 성남대로 151, 분당엠코헤리츠 2층 227(일부)호 (구미동)",2021-03-31
분당구,일반음식점,고쿠텐,영업중,2018-07-26,-,-,-,-,44.66,경기도 성남시 분당구 정자동 155-2번지 월드비터 1층 103호,"경기도 성남시 분당구 정자로 13, 월드비터 1층 103호 (정자동)",2021-03-31
중원구,일반음식점,송송양꼬치,영업중,2015-01-02,-,-,-,-,49.8,경기도 성남시 중원구 중앙동 272번지 1층,"경기도 성남시 중원구 광명로 255-9, 1층 (중앙동)",2021-03-31
수정구,일반음식점,븟반,영업중,2015-01-02,-,-,-,-,97.19,경기도 성남시 수정구 신흥동 466번지 지하1층,"경기도 성남시 수정구 희망로509번길 20, 지하1층 (신흥동)",2021-03-31
중원구,일반음식점,스시리,영업중,2015-01-05,-,-,-,-,39.98,경기도 성남시 중원구 도촌동 568번지 112호,"경기도 성남시 중원구 도촌남로 37, 1층 112호 (도촌동)",2021-03-31
분당구,일반음식점,스시오마카세,영업중,2015-01-05,-,-,-,-,79.68,경기도 성남시 분당구 정자동 174-1번지 분당 더샵 스타파크 상가동 1층 D-07호,"경기도 성남시 분당구 정자일로 121, D-07호 (정자동, 분당 더샵 스타파크 상가동 1층)",2021-03-31
분당구,일반음식점,테마보석사우나 스넥,영업중,2015-01-09,-,-,-,-,11.61,경기도 성남시 분당구 야탑동 367-4 세신옴니코아빌딩 지하1층 비101호,"경기도 성남시 분당구 야탑로 95, 비101호 (야탑동, 세신옴니코아빌딩 지하1층)",2021-03-31
분당구,일반음식점,시골양지곱창,영업중,2003-10-31,-,-,-,-,39.31,경기도 성남시 분당구 야탑동 360-3 이코노샤르망 109호,"경기도 성남시 분당구 장미로 86 (야탑동,이코노샤르망 109호)",2021-03-31
중원구,일반음식점,봉구비어 을지대점,영업중,2002-10-08,-,-,-,-,26.53,경기도 성남시 중원구 은행동 663번지 (1층),"경기도 성남시 중원구 산성대로582번길 2, 1층 (은행동)",2021-03-31
분당구,일반음식점,교촌치킨 무지개점,영업중,2002-10-09,-,-,-,-,27.65,경기도 성남시 분당구 구미동 212-2 무지개마을 분산상가 가동 1층103호,"경기도 성남시 분당구 미금로22번길 8 (구미동,무지개마을 분산상가 가동 1층103호)",2021-03-31
분당구,일반음식점,촌놈,영업중,2003-03-15,-,-,-,-,145.53,"경기도 성남시 분당구 수내동 20-2번지 초림프라자  211호,  212호","경기도 성남시 분당구 백현로101번길 17 (수내동, 초림프라자  211호,  212호 )",2021-03-31
중원구,일반음식점,호반,영업중,2003-03-17,-,-,-,-,29.32,경기도 성남시 중원구 상대원동 2993-1번지 1층(마흔쟁이길 41),"경기도 성남시 중원구 희망로392번길 14-1, 1층 (상대원동)",2021-03-31
분당구,일반음식점,미소한우곱창,영업중,2003-04-07,-,-,-,-,64.8,경기도 성남시 분당구 야탑동 383-3번지 1층 일부,"경기도 성남시 분당구 장미로108번길 11 (야탑동, 1층 일부 )",2021-03-31
중원구,일반음식점,히바치,영업중,2003-04-08,-,-,-,-,70.75,경기도 성남시 중원구 성남동 4117-2번지 (1층),"경기도 성남시 중원구 둔촌대로113번길 13, 1층 (성남동)",2021-03-31
분당구,일반음식점,오징어랑친구랑,영업중,2003-04-08,-,-,-,-,30.2,경기도 성남시 분당구 정자동 62-8 1층 (일부),"경기도 성남시 분당구 느티로87번길 7, 1층 (일부)호 (정자동)",2021-03-31
분당구,일반음식점,유타로,영업중,2003-04-09,-,-,-,-,41.65,경기도 성남시 분당구 서현동 260-4번지 덕산빌딩 101호,"경기도 성남시 분당구 황새울로335번길 8 (서현동, 덕산빌딩 101호)",2021-03-31
분당구,일반음식점,LA북창동순두부,영업중,2003-04-09,-,-,-,-,82.14,경기도 성남시 분당구 서현동 260-3 멜로즈프라자 103호,"경기도 성남시 분당구 황새울로335번길 10 (서현동,멜로즈프라자 103호)",2021-03-31
수정구,일반음식점,강산,영업중,2002-07-10,-,-,-,-,50.33,경기도 성남시 수정구 태평동 6975번지 1층,"경기도 성남시 수정구 수정로57번길 6 (태평동,1층)",2021-03-31
분당구,일반음식점,보스턴,영업중,2005-04-15,-,-,-,-,52.7,경기도 성남시 분당구 서현동 268-4 서현프라자 지상201호,"경기도 성남시 분당구 분당로53번길 14 (서현동,서현프라자 지상201호)",2021-03-31
