시군명,명소명,주소,유형,용도,데이터기준일자,정제지번주소,정제WGS84위도,정제WGS84경도
파주시,리비교,경기도 파주시 파평면 장파리,공간환경,교량,2021-02-19,경기도 파주시 파평면 장파리,,
파주시,임진각_임진각,경기도 파주시 문산읍 마정리 1325,공간환경,공원,2021-02-19,경기도 파주시 문산읍 마정리 1325,37.8904296618,126.7403709312
파주시,임진각_경의선 교량 교각,경기도 파주시 문산읍 마정리,공간환경,교량,2021-02-19,경기도 파주시 문산읍 마정리,,
파주시,임진각_임진강 철교,경기도 파주시 문산읍 문산리 6-16,공간환경,교량,2021-02-19,경기도 파주시 문산읍 문산리 6-16,37.8584604975,126.7849199709
파주시,장단역지_죽음의 다리,경기도 파주시 장단면 도라산리 894,공간환경,교량,2021-02-19,경기도 파주시 장단면 도라산리 894,37.9031540154,126.6969667838
파주시,구)장단면사무소,경기도 파주시 장단면 동장리 515,건축물,업무시설,2021-02-19,경기도 파주시 장단면 동장리 515,37.8579660089,126.6911311204
파주시,판문점 공동경비구역_판문점,경기도 파주시 진서면 어룡리,공간환경,교정 및 군사시설,2021-02-19,경기도 파주시 진서면 어룡리,,
파주시,판문점 공동경비구역_공동경비구역,경기도 파주시 진서면 어룡리,공간환경,교정 및 군사시설,2021-02-19,경기도 파주시 진서면 어룡리,,
파주시,판문점 공동경비구역_자유의집,경기도 파주시 진서면 어룡리,공간환경,교정 및 군사시설,2021-02-19,경기도 파주시 진서면 어룡리,,
파주시,구)미군홀,경기도 파주시 파평면 장파1리 371-26,건축물,교정 및 군사시설,2021-02-19,경기도 파주시 파평면 장파1리 371-26,37.9455173207,126.8375120466
평택시,만기사,경기도 평택시 진위면 동천리 548 외 1필지,건축물,사찰,2021-02-19,경기도 평택시 진위면 동천리 548 외 1필지,37.1082823423,127.1011364799
하남시,제1가나안 농군학교,경기도 하남시 풍산동 산52-2 외 2,건축물,교육연구 시설,2021-02-19,경기도 하남시 풍산동 산52-2 외 2,,
화성시,수촌교회,경기도 화성시 장안면 수촌리 673 외 4필지,건축물,종교시설,2021-02-19,경기도 화성시 장안면 수촌리 673 외 4필지,37.1045348910,126.8541136060
화성시,정원채 고가,경기도 화성시 송림동 68,건축물,전통가옥,2021-02-19,경기도 화성시 송림동 68,37.2333491460,126.8256567961
수원시,구)서울대농업생명과학부_강당,경기도 수원시 권선구 서둔동 103-2,공간환경,교육연구 시설,2021-02-19,경기도 수원시 권선구 서둔동 103-2,37.2681405706,126.9870801562
수원시,구)서울대농업생명과학부_수위실,경기도 수원시 권선구 서둔동 103-2,공간환경,교육연구 시설,2021-02-19,경기도 수원시 권선구 서둔동 103-2,37.2681405706,126.9870801562
수원시,구)서울대농업생명과학부_본관,경기도 수원시 권선구 서둔동 103-2,공간환경,교육연구 시설,2021-02-19,경기도 수원시 권선구 서둔동 103-2,37.2681405706,126.9870801562
수원시,잠사과학박물관,경기도 수원시 권선구 서둔동 61,건축물,문화 및 집회시설,2021-02-19,경기도 수원시 권선구 서둔동 61,,
수원시,선경직물_공장(2),경기도 수원시 권선구 평동 4-11,공간환경,공장,2021-02-19,경기도 수원시 권선구 평동 4-11,37.2589635492,126.9931644245
수원시,선경직물_본관,경기도 수원시 권선구 평동 4-11,공간환경,업무시설,2021-02-19,경기도 수원시 권선구 평동 4-11,37.2589635492,126.9931644245
수원시,선경직물_사무실,경기도 수원시 권선구 평동 4-11,공간환경,제1종 근린생활 시설,2021-02-19,경기도 수원시 권선구 평동 4-11,37.2589635492,126.9931644245

