연번,수목장명,도로명주소,지번주소,규모(제곱미터),연락처,관리기관,기관전화번호,데이터기준일자
1,하늘소풍수목장,,경기도 양주시 산북동 산67-6,9840,1577-8195,양주시 사회복지과,031-8082-5791,2021-07-15
2,대원정사수목장,경기도 양주시 장흥면 권율로309번길 317-214,장흥면 석현리 304-4,912,031-855-5501,양주시 사회복지과,031-8082-5791,2021-07-15
3,하늘계단 수목장,경기도 양주시 평화로1261번길 372-150,경기도 양주시 산북동 402-4,9870,1588-2142,양주시 사회복지과,031-8082-5791,2021-07-15
4,신세계공원수목장 ,경기도 양주시 장흥면 권율로29번길 170,경기도 양주시 장흥면 일영리 산33-1,950,031-855-1241,양주시 사회복지과,031-8082-5791,2021-07-15
