업종명,업소명,소재지(도로명),소재지전화
일반음식점,닭별자리,"경기도 하남시 신장동로140번길 12, 1~2층 (신장동)",031 -793 -1666
일반음식점,누나홀닭 덕풍점,"경기도 하남시 신장로 190 (덕풍동,(2층))",031 -796 -1033
일반음식점,맥그릴,"경기도 하남시 신장로 172 (덕풍동,(1층))",031 -792 -7692
일반음식점,말바위식당,"경기도 하남시 수리남로6번길 15 (덕풍동,번지(1층))", 031- 791-7382
일반음식점,목포횟집,"경기도 하남시 신장동로140번길 12 (신장동,(1,2층))", 031- 793-4045
일반음식점,하남최강초밥,경기도 하남시 하남대로787번길 66 (신장동), 031- 791-7896
일반음식점,한강집,"경기도 하남시 검단산로 337 (창우동,(1층))", 031- 792-5336
일반음식점,작은공간,"경기도 하남시 신장로136번길 18 (덕풍동,(지층))", 031- 794-1323
일반음식점,옛맛,"경기도 하남시 서하남로 499, 1층 (춘궁동)", 031- 793-5333
일반음식점,풍천장어,경기도 하남시 서하남로390번길 22 (춘궁동), 031- 791-8844
일반음식점,맛나치킨,"경기도 하남시 서하남로 46 (감북동,(1층))",  02- 474-6248
일반음식점,전주해물찜,"경기도 하남시 대성로319번길 25 (덕풍동,(1층))", 031- 791-1764
일반음식점,외딴집,"경기도 하남시 초광로46번길 33-19, 지하1, 지상1층 (광암동)",  02- 487-2323
일반음식점,요리왕,"경기도 하남시 신장로136번길 17 (덕풍동,(1층))",031 -793 -2850
일반음식점,처가집식당,"경기도 하남시 신장로154번길 11 (덕풍동,(1층))", 031- 791-7222
일반음식점,마포식당,"경기도 하남시 수리북로 5-7, 1층 (덕풍동)",031 -793 -8934
일반음식점,태양식당,"경기도 하남시 수리북로 5-4 (덕풍동,(1층))", 031- 794-4550
일반음식점,오대양 참치,"경기도 하남시 천현로 27, 1층 (신장동)", 031- 792-7030
일반음식점,영동갈비,"경기도 하남시 수리북로27번길 8, 1층 (덕풍동)", 031- 794-9669
일반음식점,향촌민속주점,"경기도 하남시 대성로299번길 35, 1층 (신장동)", 031- 793-3051
일반음식점,페리카나치킨,"경기도 하남시 천현로 73, 116동 1층 115호 (신장동)", 031- 793-7834
일반음식점,대사골식당,"경기도 하남시 천호대로1358번길 134-46 (초이동,외1필지(1층))",  02- 428-1500
일반음식점,역말왕족발,"경기도 하남시 대성로261번길 20 (덕풍동,(1층))", 031- 791-0156
일반음식점,옛마당대구뽈찜,"경기도 하남시 천현로 21 (신장동,(1층))", 031- 792-5251
일반음식점,이랴,"경기도 하남시 서하남로 450-14, 1층 (춘궁동)", 031- 795-8208
일반음식점,제이,"경기도 하남시 신평로 37 (덕풍동,(지층))",031 -795 -2965
일반음식점,두메촌갈비,"경기도 하남시 천현로 35, 1층 (신장동)", 031- 796-4246
일반음식점,가야김밥and집밥,"경기도 하남시 대성로319번길 50, 한림빌딩 1층 (덕풍동)", 031- 794-3993
일반음식점,대원식당,"경기도 하남시 신평로61번길 8 (신장동,(1층))", 031- 794-7017
일반음식점,이종구 낙지세상 하남점,"경기도 하남시 하남대로 623, 1층 (천현동)", 031- 794-0148
