상영관명,상영관소재지(지번),상영관소재지(도로명),관람정원,영업상태
일동용암천자동차극장,경기도 포천시 일동면 수입리 69번지 ,경기도 포천시 일동면 수입로 46,,영업중
포천반월아트홀,경기도 포천시 군내면 하성북리 618번지 ,경기도 포천시 군내면 청성로 111,910,영업중
광릉수목원 자동차 극장,경기도 포천시 소흘읍 직동리 321-1번지 ,경기도 포천시 소흘읍 죽엽산로 613,90,영업중
포천자동차극장,경기도 포천시 소흘읍 무림리 41번지 ,경기도 포천시 소흘읍 광릉수목원로 967,60,영업중
클라우드시네마,경기도 포천시 영북면 운천리 514-6,경기도 포천시 영북면 운천로23번길 7-8,98,영업중
포천CGV,경기도포천시 소흘읍 송우리 110-3,경기도 포천시 소흘읍 호국로 689,415,영업중
