시군명,명소명,주소,유형,용도,데이터기준일자,정제도로명주소,정제지번주소,정제우편번호,정제WGS84위도,정제WGS84경도
성남시,코리아디자인센터,경기도 성남시 분당구 야탑동 344-1,건축물,교육연구 시설,2021-02-19,경기도 성남시 분당구 양현로 322,경기도 성남시 분당구 야탑동 344-1,13496,37.4131083295,127.1232565127
성남시,여천제,경기도 성남시 분당구 운중동 998-4,건축물,단독주택,2021-02-19,경기도 성남시 분당구 산운로170번길 12,경기도 성남시 분당구 운중동 998-4,13460,37.3921873696,127.0804206116
성남시,율동공원,경기도 성남시 분당구 율동 318,공간환경,공원,2021-02-19,경기도 성남시 분당구 문정로 145,경기도 성남시 분당구 율동 318,13576,37.3833549433,127.1500072167
성남시,모란민속5일장,경기도 성남시 중원구 성남동 4747,공간환경,시장,2021-02-19,,경기도 성남시 중원구 성남동 4747,,37.4291356612,127.1272969677
수원시,에이블아트센터,경기도 수원시 권선구 금곡동 1021,건축물,건축물군,2021-02-19,경기도 수원시 권선구 서수원로617번길 9,경기도 수원시 권선구 금곡동 1021,16392,37.2795294703,126.9537937512
수원시,수원박물관,경기도 수원시 영통구 이의동 1088-10,건축물,문화 및 집회시설,2021-02-19,경기도 수원시 영통구 창룡대로 265,경기도 수원시 영통구 이의동 1088-10,16227,37.2976452252,127.0356337197
시흥시,시흥 능곡 보호각,경기도 시흥시 능곡동 산15,건축물,문화 및 집회시설,2021-02-19,,경기도 시흥시 능곡동 산15,14999,,
안산시,안산 외국인주민센터,경기도 안산시 단원구 원곡동 991-1,건축물,노유자 시설,2021-02-19,경기도 안산시 단원구 부부로 43,경기도 안산시 단원구 원곡동 991-1,15377,37.3324025635,126.7903429366
안성시,중앙대학교 안성캠퍼스 도서관,경기도 안성시 대덕면 내리 72-1,건축물,교육연구 시설,2021-02-19,경기도 안성시 대덕면 서동대로 4726,경기도 안성시 대덕면 내리 72-1,17546,37.0050772116,127.2247169869
안양시,관악성당,경기도 안양시 만안구 안양동 18-114,건축물,종교시설,2021-02-19,경기도 안양시 만안구 경수대로1140번길 24,경기도 안양시 만안구 안양동 18-114,13914,37.4145858203,126.9202917312
안양시,성결대학교 학술정보관,경기도 안양시 만안구 안양동 400-10,건축물,교육연구 시설,2021-02-19,경기도 안양시 만안구 성결대학로 53,경기도 안양시 만안구 안양동 400-10,14097,37.3798614510,126.9288159681
양주시,아름솔 유치원,경기도 양주시 장흥면 교현리 180-11,건축물,노유자 시설,2021-02-19,경기도 양주시 장흥면 북한산로1011번길 137,경기도 양주시 장흥면 교현리 180-11,11523,37.7079657182,126.9663205956
연천군,전곡선사박물관,경기도 연천군 전곡읍 전곡리 176-1,건축물,문화 및 집회시설,2021-02-19,경기도 연천군 전곡읍 평화로443번길 2,경기도 연천군 전곡읍 전곡리 176-1,11027,38.0115925690,127.0637687656
파주시,파주출판단지_웅진씽크빅 사옥,경기도 파주시 교하읍 문발리 535-1,공간환경,공장,2021-02-19,경기도 파주시 회동길 20,경기도 파주시 교하읍 문발리 535-1,10881,37.7045354294,126.6849044317
파주시,파주출판단지_교문사,경기도 파주시 교하읍 문발리 536-2,공간환경,공장,2021-02-19,경기도 파주시 문발로 116,경기도 파주시 교하읍 문발리 536-2,10881,37.7050580555,126.6874965510
파주시,파주출판단지_7321디자인,경기도 파주시 교하읍 문발리 592-1,공간환경,공장,2021-02-19,경기도 파주시 유채꽃길 30,경기도 파주시 교하읍 문발리 592-1,10884,37.7205983223,126.7049255182
파주시,파주 헤이리_딸기가 좋아,경기도 파주시 탄현면 법흥리 1652,공간환경,제1종 근린생활 시설,2021-02-19,,경기도 파주시 탄현면 법흥리 1652,10859,37.7922982375,126.6957872005
파주시,파주 헤이리_이씨의 북카페와 집,경기도 파주시 탄현면 법흥리 1652,공간환경,단독주택,2021-02-19,,경기도 파주시 탄현면 법흥리 1652,10859,37.7922982375,126.6957872005
파주시,파주 헤이리_헤이리,경기도 파주시 탄현면 법흥리 1652,공간환경,마을,2021-02-19,,경기도 파주시 탄현면 법흥리 1652,10859,37.7922982375,126.6957872005
파주시,파주 헤이리_헤이리논밭예술학교,경기도 파주시 탄현면 법흥리 1652-118,공간환경,제2종 근린생활 시설,2021-02-19,경기도 파주시 탄현면 헤이리마을길 93-45,경기도 파주시 탄현면 법흥리 1652-118,10859,37.7901987238,126.6971841914
