,category,name,location,tag,like,pick,review,rating
70,쇼핑,사슴책방,조천,"['커플 ', '혼자 ', '친구 ', '휴식/힐링 ', '쇼핑 ', '사계절 ', '청년 ', '전시와 행사']",0,3,0,0
71,쇼핑,사회복지법인 평화의마을,대정,['특산품'],0,6,0,0
72,쇼핑,보미다,서귀포시내,['쇼핑'],0,0,0,0
73,쇼핑,보성시장,제주시내,['전통시장'],2,8,0,0
74,관광지,보통청춘기록실 청춘사진관,한림,"['커플 ', '친구 ', '아이 ', '부모 ', '사진관 ', '스튜디오']",1,17,0,0
75,쇼핑,북타임,서귀포시내,"['책 ', ' 서점 ', '책방']",0,3,0,0
76,쇼핑,수풀,한림,"['쇼핑 ', '소품 ', '핸드메이드']",0,2,0,0
77,쇼핑,승희상회,구좌,"['불량식품 ', '과자 ', '쇼핑']",0,2,0,0
78,쇼핑,서문공설시장,제주시내,['전통시장'],0,8,0,0
79,쇼핑,서쪽가게,한림,"['쇼핑 ', '실내 ', '빈티지 ', '협재해수욕장']",0,2,0,0
80,쇼핑,선우스타일,제주시내,"['사진관 ', '흑백사진 ', '가족사진 ', '우정스냅 ', '스냅사진']",0,2,0,0
81,쇼핑,아름낭,서귀포시내,['공방'],0,7,0,0
82,쇼핑,아워키친,제주시내,"['쇼핑 ', '소품 ', '그릇 ', '주방용품']",0,1,0,0
83,쇼핑,아코하루,제주시내,"['쇼핑 ', '공방 ', '기념품']",0,3,0,0
84,쇼핑,시티오브드림즈,제주시내,"['쇼핑 ', ' 복합쇼핑몰']",0,5,0,0
85,쇼핑,쓸모있는 생활잡화점,제주시내,"['쇼핑 ', '라탄']",0,9,0,0
86,쇼핑,아꼬화,제주시내,"['꽃집 ', ' 꽃 ', ' 쇼핑']",0,0,0,0
87,쇼핑,아름낭,서귀포시내,['공방'],0,7,0,0
88,쇼핑,얼리스프링플라워,제주시내,"['꽃 ', ' 꽃집 ', ' 쇼핑']",0,1,0,0
89,쇼핑,에브리바디빈티지,제주시내,"['의류 ', ' 소품 ', ' 빈티지']",0,4,0,0
90,쇼핑,아트앤제주,제주시내,['특산품'],0,2,0,0
91,쇼핑,안나네꽃마을,제주시내,"['꽃 ', '꽃집']",0,0,0,0
92,쇼핑,야호농수산,제주시내,['특산품'],0,6,0,0
93,쇼핑,언제라도 북스&리틀갤러리,구좌,"['혼자 ', '커플 ', '쇼핑 ', '엽서 ', '포스터']",0,2,0,0
94,쇼핑,우생당,제주시내,['서점'],0,0,0,0
95,쇼핑,윌로우씨 제주캔들공방,제주시내,"['캔들 ', '기념품']",1,6,0,0
96,쇼핑,연필가게,남원,"['쇼핑 ', '연필 ', '기념품']",0,6,0,0
97,쇼핑,옥수카페,애월,"['카페 ', '쇼핑 ', '라탄']",0,10,0,0
98,쇼핑,올레바다,서귀포시내,"['특산품 ', '귤 ', '한라봉 ', '천혜향 ', '황금향']",0,13,0,0
99,쇼핑,용연낚시,제주시내,['낚시'],0,0,0,0
100,쇼핑,제일토산품,제주시내,['특산품'],0,1,0,0
101,쇼핑,제주i,성산,"['기념품 ', ' 소품']",0,3,0,0
102,쇼핑,이제주숍,제주시내,"['제주기념품 ', ' 제주특산품 ', ' 제주쇼핑']",1,5,0,0
103,쇼핑,인연의숲,구좌,"['쇼핑 ', '잡화 ', '책 ', '엽서']",1,3,0,0
104,쇼핑,인한복,제주시내,['체험'],0,2,0,0
105,쇼핑,제이어스,제주시내,['화장품'],0,0,0,0
106,쇼핑,제주허니와인,애월,"['와이너리 ', ' 양조장 ', ' 와인']",0,2,0,0
107,쇼핑,지소울,제주시내,"['쇼핑 ', '공방 ', '지오브랜드 ', '기념품']",6,24,0,0
108,쇼핑,제주그림,서귀포시내,"['쇼핑 ', '휴식/힐링']",0,0,0,0
109,쇼핑,제주소랑,한림,[],0,1,0,0
110,쇼핑,제주시농협농산물직거래센터,제주시내,['특산품'],1,13,0,0
111,쇼핑,제주중앙지하상가,제주시내,"['쇼핑 ', '기념품 ', '']",1,48,0,0
112,쇼핑,큰손상회,구좌,"['쇼핑 ', '기념품']",0,9,0,0
113,쇼핑,탐라동주,중문,"['쇼핑 ', ' 천연염색 ', ' 중문']",4,2,0,0
114,쇼핑,차귀도 오징어,한경,"['쇼핑 ', '차귀도 ', '오징어 ', '한치 ', '쥐포 ', '차귀도포구']",0,11,0,0
115,쇼핑,책약방,구좌,"['혼자 ', '친구 ', '휴식/힐링 ', '책방 ', '서점']",0,3,0,0
116,쇼핑,천진낭만,우도,"['한복 ', '기념품 ', '쇼핑']",0,2,0,0
117,쇼핑,캔북스,제주시내,"['커플 ', '혼자 ', '친구 ', '쇼핑 ', '사계절 ', '청년 ', '휴식/치유 ', '전시와 행사']",0,1,0,0
118,관광지,피크닉메이트,제주시내,"['피크닉 ', ' 용품대여']",2,2,0,0
119,쇼핑,한라꽃방,서귀포시내,"['꽃 ', ' 꽃집 ', ' 쇼핑']",0,1,0,0
120,쇼핑,팰롱팰롱 빛나는,구좌,"['혼자 ', '친구 ', '커플 ', '아이 ', '쇼핑 ', '사계절 ', '비누 ', '캔들 ', '소품샵 ', '제주비누 ', '저온숙성비누']",0,13,0,0
121,쇼핑,펠롱잡화점,구좌,"['커플 ', '친구 ', '휴식/힐링']",0,2,0,0
122,쇼핑,풍년상회,조천,"['쇼핑 ', '기념품']",0,8,0,0
123,쇼핑,한복담,제주시내,"['커플 ', '친구']",0,4,0,0
124,쇼핑,함덕오일시장,조천,['전통시장'],0,6,0,0
125,쇼핑,현승이네농장,애월,"['천혜향 ', ' 한라봉 ', ' 레드향 ', '특산품']",0,5,0,0
