,name,main_category,sub_category
193,구엄리돌염전,자연,해변
194,공천포,자연,해변
195,세화해안도로,자연,해변
196,위미항,자연,해변
197,조천함덕해안도로,자연,해변
198,도두항,자연,해변
199,신창풍차해안도로,자연,해변
200,오조포구,자연,해변
201,톨칸이,자연,해변
202,한림항,자연,해변
203,고내리포구,자연,해변
204,신창리포구,자연,해변
205,화순금모래해수욕장,자연,해변
206,성산오조리해안,자연,해변
207,종달리해변,자연,해변
208,김녕해안도로,자연,해변
209,구좌해안로,자연,해변
210,도두해안도로,자연,해변
211,싱게물(싱계물)공원,자연,해변
212,엉알해안,자연,해변
213,엉알해안산책로,자연,해변
214,월평포구,자연,해변
215,이호테우해수욕장,자연,해변
216,조함해안도로,자연,해변
217,형제해안도로,자연,해변
218,공천포구,자연,해변
219,돔베낭골,자연,해변
220,보목포구,자연,해변
221,산지등대,자연,해변
222,월정리해안도로,자연,해변
223,자구네포구,자연,해변
224,협재포구,자연,해변
225,고산일과해안도로,자연,해변
226,노을해안로,자연,해변
227,대정해변(하모해변),자연,해변
228,대포포구,자연,해변
229,삼화포구,자연,해변
230,태흥포구,자연,해변
231,하예포구(예래포구),자연,해변
232,금능포구,자연,해변
233,다끄네포구(용담포구),자연,해변
234,당케산물(당케포구),자연,해변
235,동일리포구,자연,해변
236,모진이몽돌해변,자연,해변
237,민속해안로,자연,해변
238,북촌포구,자연,해변
239,삼양해안도로,자연,해변
240,신도포구,자연,해변
241,온평리 포구,자연,해변
242,월령포구,자연,해변
243,정주항,자연,해변
244,행원육상양식단지,자연,해변
245,거믄여해안경승지,자연,해변
246,게우지코지,자연,해변
247,고내리 다락쉼터,자연,해변
248,구엄포구,자연,해변
249,굴동포구,자연,해변
250,금성포구,자연,해변
251,김녕항,자연,해변
252,대수포구,자연,해변
253,돔베낭길,자연,해변
254,망장포,자연,해변
255,묵리해안쉼터,자연,해변
256,묵리해안포구,자연,해변
257,별도포구,자연,해변
258,사계 용머리해안 (해산물),자연,해변
259,사계항,자연,해변
260,상추자포구,자연,해변
261,상추자항,자연,해변
262,서귀포층패류화석산지,자연,해변
263,설쿰바당,자연,해변
264,성산~세화 해안도로,자연,해변
265,신대해안,자연,해변
266,신양연안바다목장,자연,해변
267,신양포구,자연,해변
268,신양해안도로,자연,해변
269,아이리스촬영지(하얀등대),자연,해변
270,연대포구,자연,해변
271,열리해안길,자연,해변
272,예래해안도로,자연,해변
273,예초리포구,자연,해변
274,예초리해변,자연,해변
275,옹포포구,자연,해변
276,우도 득성이코지,자연,해변
277,이호-내도 해안도로,자연,해변
278,중문색달해변(해산물),자연,해변
279,평대해변,자연,해변
280,평수포구,자연,해변
281,현사포구,자연,해변
282,형제해안로전망대,자연,해변
283,후포해변,자연,해변
284,쇠소깍,자연,계곡
285,안덕계곡,자연,계곡
286,용연,자연,계곡
287,돈내코,자연,계곡
288,돈내코유원지,자연,계곡
289,천아숲길 천아계곡,자연,계곡
290,강정천유원지,자연,계곡
291,어리목계곡,자연,계곡
292,엉덩물계곡,자연,계곡
293,방선문,자연,계곡
294,고살리숲길,자연,계곡
295,남내소,자연,계곡
296,무수천,자연,계곡
297,천지연폭포,자연,폭포
298,정방폭포,자연,폭포
299,천제연폭포,자연,폭포
300,엉또폭포,자연,폭포
301,원앙폭포,자연,폭포
302,소정방폭포,자연,폭포
303,비자림,자연,휴양림
304,제주절물자연휴양림,자연,휴양림
305,동백동산,자연,휴양림
306,서귀포치유의숲,자연,휴양림
307,붉은오름 자연휴양림,자연,휴양림
308,서귀포자연휴양림,자연,휴양림
309,교래자연휴양림,자연,휴양림
310,한라생태숲,자연,휴양림
311,5.16도로숲터널,자연,휴양림
312,걸매생태공원,자연,휴양림
313,납읍난대림 금산공원,자연,휴양림
314,머체왓숲길,자연,휴양림
315,샤이니숲길,자연,휴양림
316,별내린전망대,자연,휴양림
317,휴림,자연,휴양림
318,여미지식물원,자연,수목원
319,생각하는정원,자연,수목원
320,한라수목원,자연,수목원
321,상효원,자연,수목원
322,방림원,자연,수목원
323,비블리아성서식물원,자연,수목원
324,만장굴,자연,동굴
325,협재굴(한림공원),자연,동굴
326,빌레못동굴,자연,동굴
327,검멀레동굴,자연,동굴
328,송악산 진지동굴,자연,동굴
329,황우지해안 열두굴,자연,동굴
330,미천굴,자연,동굴
331,쌍용굴(한림공원),자연,동굴
332,김녕사굴,자연,동굴
333,황금굴(한림공원),자연,동굴
334,김영갑갤러리 두모악,문화관광,미술관
335,제주특별자치도 도립미술관,문화관광,미술관
336,이중섭미술관,문화관광,미술관
337,지니어스 로사이,문화관광,미술관
338,제주현대미술관,문화관광,미술관
339,북촌돌하르방미술관,문화관광,미술관
340,제주도립김창열미술관,문화관광,미술관
341,아라리오뮤지엄탑동시네마,문화관광,미술관
342,왈종미술관,문화관광,미술관
343,포도갤러리 in 포도호텔,문화관광,미술관
344,프랑스샤르망,문화관광,미술관
345,갤러리2 중선농원,문화관광,미술관
346,고흐의 정원,문화관광,미술관
347,김택화미술관,문화관광,미술관
348,바당미술관,문화관광,미술관
349,서귀포시립기당미술관,문화관광,미술관
350,심헌갤러리,문화관광,미술관
351,아라리오뮤지엄동문모텔1,문화관광,미술관
352,아라리오뮤지엄동문모텔2,문화관광,미술관
353,아르떼뮤지엄,문화관광,미술관
354,유민미술관,문화관광,미술관
355,제주국제예술센터,문화관광,미술관
356,너븐숭이 4.3기념관,문화관광,전시관
357,제주민속촌,문화관광,전시관
358,서귀포천문과학문화관,문화관광,전시관
359,제주국제컨벤션센터 icc,문화관광,전시관
360,제주추사관,문화관광,전시관
361,제주세계자연유산센터,문화관광,전시관
362,김만덕기념관,문화관광,전시관
363,더 플래닛(THE PLANET),문화관광,전시관
364,서복전시관,문화관광,전시관
365,성김대건신부표착기념관,문화관광,전시관
366,제주항일기념관,문화관광,전시관
367,SM 디지털아트 뮤지엄,문화관광,전시관
368,갓전시관[임시휴관중],문화관광,전시관
369,거인의 정원,문화관광,전시관
370,대정현역사자료전시관,문화관광,전시관
371,문화공간 양,문화관광,전시관
372,문화빳데리 충전소,문화관광,전시관
373,산지천갤러리,문화관광,전시관
374,소암현중화기념관,문화관광,전시관
375,예술공간 이아,문화관광,전시관
376,제주국제평화센터,문화관광,전시관
377,제주문예회관,문화관광,전시관
378,조천만세동산,문화관광,전시관
379,통일관,문화관광,전시관
380,포토갤러리 자연사랑미술관,문화관광,전시관
381,하멜상선전시관,문화관광,전시관
382,관덕정,문화관광,문화재
383,항파두리항몽유적지,문화관광,문화재
384,성읍마을,문화관광,문화재
385,알뜨르비행장,문화관광,문화재
386,삼성혈,문화관광,문화재
387,제주목관아,문화관광,문화재
388,별방진,문화관광,문화재
389,명월성지,문화관광,문화재
390,제주 삼양동 유적,문화관광,문화재
391,추사적거지,문화관광,문화재
392,귀덕연대,문화관광,문화재
393,귀빈사,문화관광,문화재
394,대정향교,문화관광,문화재
395,발자국화석공원,문화관광,문화재
396,와흘본향당,문화관광,문화재
397,제주향교,문화관광,문화재
398,화북비석거리,문화관광,문화재
399,가마오름 진지동굴,문화관광,문화재
400,강병대교회,문화관광,문화재
401,곽지패총,문화관광,문화재
402,광령귤나무,문화관광,문화재
403,금덕무환자나무및팽나무군락,문화관광,문화재
404,남두연대,문화관광,문화재
405,동복환해장성,문화관광,문화재
406,명월팽나무군락,문화관광,문화재
407,배령연대,문화관광,문화재
408,법정사,문화관광,문화재
409,법화사,문화관광,문화재
410,별도연대,문화관광,문화재
411,북촌환해장성,문화관광,문화재
412,비양도의 비양나무자생지,문화관광,문화재
413,삼사석,문화관광,문화재
414,신산환해장성,문화관광,문화재
415,애월연대,문화관광,문화재
416,애월환해장성,문화관광,문화재
417,연북정,문화관광,문화재
418,오현단,문화관광,문화재
419,온평리 환해장성,문화관광,문화재
420,우도 봉수대,문화관광,문화재
421,정의향교,문화관광,문화재
422,정의현 일관헌,문화관광,문화재
423,제주고산리유적,문화관광,문화재
424,조천비석거리,문화관광,문화재
425,존자암지,문화관광,문화재
426,최영장군사당,문화관광,문화재
427,한동환해장성,문화관광,문화재
428,협자연대,문화관광,문화재
429,화북환해장성,문화관광,문화재
430,서커스월드공연장,테마관광지,공연장
431,탑동해변공연장,테마관광지,공연장
432,서귀포예술의전당,테마관광지,공연장
433,제주난타,테마관광지,공연장
434,제주문예회관,테마관광지,공연장
435,페인터즈:히어로 제주,테마관광지,공연장
436,오설록티뮤지엄,테마관광지,박물관
437,박물관은 살아있다,테마관광지,박물관
438,본태박물관,테마관광지,박물관
439,세계자동차 & 피아노박물관,테마관광지,박물관
440,감귤박물관,테마관광지,박물관
441,해녀박물관,테마관광지,박물관
442,제주항공우주박물관,테마관광지,박물관
443,테디베어뮤지엄제주,테마관광지,박물관
444,제주해양동물박물관,테마관광지,박물관
445,민속자연사박물관,테마관광지,박물관
446,제주커피박물관 바움 Baum,테마관광지,박물관
447,넥슨컴퓨터박물관,테마관광지,박물관
448,제주유리박물관,테마관광지,박물관
449,건강과성박물관,테마관광지,박물관
450,국립제주박물관,테마관광지,박물관
451,그리스신화박물관 / 트릭아이미술관,테마관광지,박물관
452,초콜릿박물관,테마관광지,박물관
453,아라리오뮤지엄탑동시네마,테마관광지,박물관
454,세계조가비박물관,테마관광지,박물관
455,석부작박물관,테마관광지,박물관
456,아이스뮤지엄,테마관광지,박물관
457,아프리카박물관,테마관광지,박물관
458,바이나흐튼 크리스마스 박물관,테마관광지,박물관
459,세계술박물관,테마관광지,박물관
460,우도박물관,테마관광지,박물관
461,지포뮤지엄,테마관광지,박물관
