,category,name,location,tag,like,pick,review,rating
1286,음식점,하몽인제주,한림,"['스시 ', '초밥 ', '회 ', '사시미']",1,1,0,0
1287,음식점,하비마카롱,제주시내,"['마카롱 ', '꼬끄후레이크 ', '커피']",0,1,0,0
1288,음식점,하빌리스,제주시내,"['감귤스무디 ', '카페 ', '커피 ', '음료']",0,2,0,0
1289,음식점,하우스142,제주시내,"['한식 ', '흑돼지 ', '숯불구이']",0,1,0,0
1290,음식점,하원가흑돼지,중문,['흑돼지'],1,5,0,0
1291,음식점,하효살롱,서귀포시내,"['가정식 ', '한식 ', '몸국 ', '옥돔구이']",2,18,0,0
1292,음식점,하효소머리국밥,서귀포시내,"['국밥 ', '수육 ', '한식']",0,2,0,0
1293,음식점,한라네 김밥,서귀포시내,"['김밥 ', '고기만두 ', '김치만두']",3,19,0,0
1294,음식점,한라성,서귀포시내,"['흑돼지구이 ', '백숙 ', '한방백숙해천탕']",0,0,0,0
1295,음식점,한량2010,제주시내,"['카페 ', '음료 ', '런던포그']",1,1,0,0
1296,음식점,한밭식당,추차도,"['추자녹두삼계탕 ', '추자오리고기 ', '추자음식점 ', '추자식당 ', '추자도']",0,0,0,0
1297,음식점,한양식당,서귀포시내,"['퓨전한정식 ', '한정식 ', '한식']",0,0,0,0
1298,음식점,할매추어탕,제주시내,"['추어탕 ', '청국장 ', '한식']",0,7,0,0
1299,음식점,함덕밀면,조천,"['밀면 ', '간재미회 ', '함덕밀면 ', '매운밀면']",1,18,0,0
1300,음식점,함덕찜,조천,"['찜 ', ' 갈비찜']",0,3,0,0
1301,음식점,함덕카페h,조천,"['수제 생과일주스 ', '마카롱 ', ' 다쿠아즈 ', ' 과실청']",4,8,0,0
1302,음식점,해녀3대할망네,마라도,"['횟집 ', '문어 ', '전복']",1,2,0,0
1303,음식점,해뜰,성산,"['브런치 ', '백년초음료 ', '카페']",2,7,0,0
1304,음식점,해마루,서귀포시내,"['뚝배기 ', '갈치조림 ', '통갈치 ', '돔베고기']",0,6,0,0
1305,음식점,해변가든(켄싱턴리조트),서귀포시내,"['흑돼지 ', '해물라면 ', '김치찌개 ', '된장찌개']",0,3,0,0
1306,음식점,해오름정육식당,표선,"['흑돼지 ', '고기구이 ', '한식']",1,10,0,0
1307,음식점,해와달그리고섬,우도,"['회 ', '해물뚝배기 ', '성게덮밥 ', '물회 ', '성게국']",0,3,0,0
1308,음식점,해운대가든,서귀포시내,"['흑돼지 ', '뚝배기 ', '물냉면 ', '목살']",0,2,0,0
1309,음식점,해월향,서귀포시내,"['흑돼지 ', '목살 ', '오겹살 ', '가브리살']",0,1,0,0
1310,음식점,해적선,추차도,"['추자음식점 ', '추자식당 ', '추자향토음식점 ', '추자회식당 ', '추자도']",0,1,0,0
1311,음식점,해품,애월,"['해초비빔밥 ', ' 문어장 ', ' 전복장']",0,2,0,0
1312,음식점,허니문하우스,서귀포시내,"['부모 ', '커플 ', '사계절 ', '실내 ', '휴식/힐링 ', '경관/포토']",0,13,0,0
1313,음식점,현경식당,제주시내,"['순대국밥 ', '순대 ', '백반집 ', '한식']",0,2,0,0
1314,음식점,현기네식당,제주시내,"['된장찌개 ', '해장국 ', '내장탕 ', '한식']",1,0,0,0
1315,음식점,협재국수가게(구 청산식당),한림,"['국수 ', '김치 ', '돔베고기']",0,4,0,0
1316,음식점,협재칼치,한림,"['해물 ', ' 협재 ', ' 갈치']",0,1,0,0
1317,음식점,호끌락다락,조천,"['스페인 음식 ', '새우까수엘라 ', '홍합스튜']",0,4,0,0
1318,음식점,호도제과,서귀포시내,"['빵집 ', ' 베이커리']",0,1,0,0
1319,음식점,호랑이해장국,성산,"['순두부찌개 ', '해장국 ', '닭내장탕 ', '한식']",0,2,0,0
1320,음식점,홍도니,제주시내,"['흑돼지 ', '한식 ', '고기국수']",0,5,0,0
1321,음식점,홍삼흑돼지,표선,"['흑돼지 ', '목살 ', '오겹살 ', '항정살']",0,2,0,0
1322,음식점,홍어일번지,제주시내,"['홍어삼합 ', '홍어애탕 ', '한식 ', '홍어전문점']",0,0,0,0
1323,음식점,홍요깃거리카페,애월,"['카페 ', '보말칼국수 ', '한라봉 생면 ', '청귤 아이스 ', '토네이도']",0,4,0,0
1324,음식점,화북코끼리식당,제주시내,"['김치찌개 ', '된장찌개 ', '순두부 ', '한식']",0,0,0,0
1325,음식점,환상의짜장,마라도,"['짜장면 ', '짬뽕 ', '수타짜장면']",0,0,0,0
1326,음식점,황궁쟁반탐라원,제주시내,"['중식 ', '짜장면 ', '짬뽕 ', '탕수육']",1,5,0,0
1327,음식점,황금무지개,표선,"['초밥 ', '스시 ', '활어스시 ', '모듬스시']",0,1,0,0
1328,음식점,황금섬숯불갈비,추차도,"['추자갈비 ', '추자오겹살 ', '추자장어구이 ', '추자음식점 ', '추자식당 ', '추자도']",0,1,0,0
1329,음식점,황금어장,서귀포시내,"['횟집 ', '활어회 ', '매운탕']",0,1,0,0
1330,음식점,황금어장(제주시),제주시내,"['향토음식 ', '옥돔미역국 ', '갈치호박국 ', '성게국 ', '방어회']",1,7,0,0
1331,음식점,황원갈비,구좌,"['갈비 ', '막창구이 ', '갈비탕 ', '육개장']",1,3,0,0
1332,음식점,후년하우스,제주시내,"['소고기샤브샤브 ', '돼지고기 샤브샤브 ', '오리고기샤브샤브 ', '말고기샤브샤브 ', '샤브샤브']",0,10,0,0
1333,음식점,흑돼지돈까스 뷔페 밀라네사,제주시내,"['흑돼지 ', ' 돈까스 ', ' 뷔페 ', ' 흑돼지돈까스 ', ' 키즈존 ', ' 놀이방']",1,1,0,0
1334,음식점,흑염소마루,남원,"['흑염소탕 ', '육회 ', '전골 ', '수육']",0,0,0,0
