,category,name,location,tag,like,pick,review,rating
721,숙박,제주공항 고추잠자리 게스트하우스,제주시내,['휴식'],0,3,0,0
722,숙박,제주금산펜션,애월,['펜션'],0,0,0,0
723,숙박,제주나인 부띠끄,서귀포시내,['호스텔'],0,1,0,0
724,숙박,제주도통나무펜션,남원,['펜션'],0,0,0,0
725,숙박,제주돌집2호점 (스코리아),구좌,['휴식'],0,2,0,0
726,숙박,제주디오빌,서귀포시내,['안전인증숙소'],0,0,0,0
727,숙박,제주란펜션,애월,"['펜션 ', ' 애월']",0,0,0,0
728,숙박,제주를여행하는히치하이커를위한안내소,제주시내,[],0,1,0,0
729,숙박,제주마로펜션,한림,[],1,3,0,0
730,숙박,제주마실게스트하우스,제주시내,['휴식'],0,0,0,0
731,숙박,제주머무리,안덕,"['부모 ', '커플 ', '친구 ', '아이 ', '펜션 ', '바베큐 ', '감귤농장']",0,0,0,0
732,숙박,제주메이플호텔,제주시내,['휴식'],0,1,0,0
733,숙박,제주목화휴양펜션,남원,['펜션'],0,3,0,0
734,숙박,제주밭담숲,구좌,"['웰니스 ', ' 겨울 ', ' 숙박']",1,3,0,0
735,숙박,제주베스트힐 펜션&글램핑,조천,"['야영장 ', '캠핑장']",1,0,0,0
736,숙박,제주별바람,한림,['휴식'],0,1,0,0
737,숙박,제주부영청소년수련원,중문,['휴식'],0,0,0,0
738,숙박,제주비치펜션,애월,['휴식'],0,2,0,0
739,숙박,제주빌레성 통나무휴양펜션,성산,['휴식'],1,2,0,0
740,숙박,제주사랑 펜션,서귀포시내,"['펜션 ', ' 안전인증숙소']",0,0,0,0
741,숙박,제주산내들,표선,['휴식'],0,0,0,0
742,숙박,제주서울민박,남원,['휴식'],0,0,0,0
743,숙박,제주성산아일랜드,성산,['휴식'],0,0,0,0
744,숙박,제주쉼표,제주시내,['휴식'],0,0,0,0
745,숙박,제주스웨덴리조트펜션,한림,['휴식'],0,0,0,4
746,숙박,제주스테이비우다,서귀포시내,['휴식'],0,0,0,0
747,숙박,제주신신휴양펜션,안덕,['휴식'],0,0,0,0
748,숙박,제주야자원,표선,['캠핑'],0,0,0,0
749,숙박,제주엔펜션,대정,['휴식'],0,0,0,0
750,숙박,제주영숙,남원,['민박'],0,0,0,0
751,숙박,제주올레돔,성산,['휴식/힐링'],0,0,0,0
752,숙박,제주올레하우스팬션,구좌,[],0,0,0,0
753,숙박,제주와요펜션,조천,['휴식'],0,0,0,0
754,숙박,제주우리집펜션,한경,['펜션'],0,0,0,0
755,숙박,제주유스호스텔,애월,"['부모 ', '친구 ', '아이 ', '맑음 ', '사계절 ', '중/장년 ', '노년 ', '청년 ', '휴식/치유']",0,1,0,0
756,숙박,제주의시간은느리다,구좌,[],0,2,0,0
757,숙박,제주잔잔,서귀포시내,[],0,4,0,0
758,숙박,제주코기네,조천,['휴식'],0,0,0,0
