,장소,부모님,아이,친구,커플,친척,가족,지인,연인,혼자,둘,셋,넷,경관,인생샷,휴식,공원,유적지,미술,박물관,익스트림,스포츠,체험,드라이브,쇼핑,전시,자연,산책
15,비자림,0.22373709,0.23275484,0.26667982,0.17294262,0.17513445,0.2396337,0.24275169,0.2099582,0.27537495,0.25502738,0.21809973,0.1641233,0.17658313,0.19933766,0.21101214,0.18265563,0.22596918,0.14736743,0.2511381,0.15803888,0.03130517,0.21934141,0.284894,0.152213,0.13792834,0.24045214,0.36536095
16,천지연폭포,0.2507271,0.25241536,0.29275513,0.18424168,0.17742851,0.22146916,0.25758734,0.28393877,0.29668692,0.23470175,0.14395228,0.13626581,0.30549496,0.28801364,0.23690143,0.3515893,0.16375794,0.12677035,0.22289138,0.24319011,0.10564163,0.19966117,0.22283785,0.25875553,0.24031019,0.2531593,0.40702492
17,세화,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,산호,0.11235736,0.19702843,0.25893703,0.2046887,0.064342685,0.17142971,0.22459234,0.20213497,0.12150415,0.17896268,0.10608983,0.18555868,0.2376592,0.21812108,0.100786686,0.16511965,0.15842268,0.13690023,0.15524054,0.23306017,0.18715,0.15685004,0.20076787,0.23457547,0.17726752,0.25194204,0.18293452
19,광치,0.24316049,0.296569,0.2130261,0.20735812,0.02683386,0.28476375,0.29586083,0.22410172,0.18567619,0.15312618,0.12967126,0.23222357,0.38277376,0.22149074,0.23712029,0.35062942,0.31530842,0.23340553,0.44587627,0.2947058,0.24381535,0.3451374,0.33647805,0.23665455,0.31194794,0.35806978,0.3916631
20,김녕해수욕장,0.27270365,0.26099545,0.2619446,0.28275478,0.22564131,0.28718585,0.27420753,0.2682176,0.290394,0.2728791,0.16596156,0.16962962,0.15608466,0.30663538,0.17853864,0.28209317,0.2471219,0.09078023,0.20221543,0.15518393,0.10464439,0.19848335,0.33768195,0.17091796,0.1419928,0.21608315,0.30075467
21,아쿠아플라넷,0.23045847,0.32055438,0.26296106,0.20172396,0.17721336,0.2427904,0.21389869,0.20306829,0.21835615,0.16014396,0.15107083,0.23721437,0.19565392,0.27306467,0.16762233,0.2460329,0.1588337,0.23326743,0.29725426,0.35397077,0.19724512,0.2947914,0.26237196,0.26377738,0.2515679,0.23682334,0.29531926
22,송악산,0.18788506,0.24916911,0.24448062,0.22650602,0.13123861,0.25739077,0.26430294,0.24378714,0.25465155,0.23432589,0.17259675,0.12808752,0.30754325,0.27055168,0.28144002,0.286173,0.26667857,0.086625114,0.1990441,0.3074301,0.100499034,0.24905582,0.35792935,0.20232955,0.1727789,0.3272214,0.3583557
23,쇠소깍,0.18230376,0.28018445,0.24516931,0.24944174,0.16622286,0.2461233,0.23953979,0.27992082,0.23707855,0.23503882,0.18157789,0.19257875,0.26874226,0.26321584,0.22261752,0.23887587,0.101453684,0.1238213,0.15529422,0.29853666,0.18585593,0.32041442,0.24604365,0.25886387,0.22899881,0.26644665,0.29171586
24,금능,0.22437866,0.30133605,0.28908944,0.24900784,0.20371738,0.29932776,0.28525558,0.22910474,0.19166753,0.27549222,0.20958586,0.16254514,0.17493898,0.2636634,0.25179914,0.24189073,0.20637667,0.13891627,0.2171066,0.2229387,0.1492677,0.22259864,0.2956825,0.18054128,0.14196777,0.25964597,0.3119077
25,마라도,0.25479692,0.24450617,0.23670405,0.19133657,0.19229949,0.24748902,0.22705057,0.20501867,0.2541583,0.23263031,0.14935955,0.14101908,0.2765199,0.24324816,0.21320778,0.21418017,0.1626259,0.16769125,0.2205604,0.25903225,0.07024954,0.21857107,0.2220371,0.24463242,0.17933276,0.26519132,0.28212047
26,애월,0.23262757,0.24910778,0.28445908,0.23747918,0.22273742,0.2295118,0.21004191,0.18133765,0.28863934,0.21046805,0.23027252,0.18305998,0.1781638,0.2409119,0.15120429,0.18877415,0.17918247,0.13792507,0.19289899,0.22294703,0.18309891,0.24295801,0.36245447,0.25336662,0.1410895,0.17856878,0.2975927
27,곽지,0.30158454,0.33528814,0.3475795,0.31517136,0.3160892,0.31040823,0.35589677,0.30008298,0.3513774,0.40430713,0.3468269,0.2452577,0.23143762,0.33414012,0.24865636,0.29322836,0.32540774,0.12323073,0.21904942,0.2475096,0.19255617,0.22016719,0.43155462,0.19939542,0.16517818,0.24204047,0.42246664
28,용머리,0.26280522,0.27082524,0.21070968,0.16761528,0.18786755,0.22206989,0.23439234,0.26259494,0.21229161,0.20781296,0.17288627,0.16620667,0.2978659,0.35311407,0.19884625,0.26292163,0.2324324,0.13339183,0.27179915,0.27319923,0.08139281,0.2181368,0.3113346,0.21890464,0.21370912,0.32821238,0.296778
