,장소,부모님,아이,친구,커플,친척,가족,지인,연인,혼자,둘,셋,넷
513,김대건,0.24527594,0.13269855,0.117429286,0.1870487,0.20070744,0.19785284,0.18646249,0.22014077,0.15690917,0.14141096,0.13038874,0.13362104
514,성불,0.19767152,0.17811406,0.14768142,0.17281842,0.18530154,0.18788049,0.17401858,0.18070665,0.21811625,0.20101362,0.24008092,0.12578554
515,세계,0.18031776,0.135479,0.12857652,0.12434125,0.08630791,0.19049317,0.118871614,0.14805582,0.18422025,0.20168185,0.076174855,0.14745262
516,세리,0.2024658,0.22160055,0.22424933,0.19460547,0.15678494,0.20494398,0.17164731,0.2604175,0.15114953,0.17147374,0.12976566,0.10333432
517,제트,0.24533528,0.29376936,0.22845957,0.27898312,0.12800048,0.25501344,0.17800413,0.29251152,0.17942819,0.24613982,0.13816595,0.21779671
518,저수지,0.20703946,0.14436558,0.14949103,0.1145367,0.10495798,0.16804525,0.20582846,0.14726627,0.16345279,0.080464855,0.11708611,0.087397136
519,스페이스,0.14584209,0.14115033,0.14783667,0.10294755,0.011554755,0.17189683,0.049376275,0.17471603,0.07792373,0.090487406,0.06130725,0.2917218
520,시크릿가든,0.23943168,0.28720707,0.33266595,0.3766417,0.1549088,0.31255317,0.27465963,0.45407733,0.2930684,0.23869997,0.2548527,0.2647199
521,신도,0.13863625,0.20643418,0.13850245,0.17104438,0.24035448,0.2106732,0.23202378,0.14842546,0.22759223,0.06741537,0.12588188,0.14968956
522,카트,0.25979254,0.33445,0.28895348,0.31258497,0.15800312,0.2750134,0.17281042,0.26608372,0.25796938,0.28966817,0.20498352,0.20521456
523,쌍용,0.18876913,0.17790808,0.16129127,0.18683875,0.0547265,0.17513709,0.14841586,0.16022979,0.17810422,0.1828064,0.11332896,0.16074419
524,플라워,0.20163962,0.24846339,0.19261116,0.2426047,0.05778189,0.12716863,0.17419693,0.17341973,0.09590253,0.11142934,0.10779405,0.18046099
