도시,식당이름,url,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9418113-Reviews-Mori-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d7266650-Reviews-Neulbom_Heukdwaeji-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9394489-Reviews-Nolman-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d8989229-Reviews-Hanrim_Noodles_Soup-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d14038114-Reviews-Kohaku-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d8647292-Reviews-Michin_Kitchen-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9395438-Reviews-Noodle_Bbopneun_Teacher_Man_du_Bit_Neun_Anae-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d5561606-Reviews-Moise_Haejangguk-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9410631-Reviews-Mipung_Hangover_Cure_Soup-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9385763-Reviews-Nang_Yard_E_Suimpang-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d8933095-Reviews-88_Pig-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d7266677-Reviews-Yurine-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d16698798-Reviews-Sukseongdo-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d8913353-Reviews-Beodeu_Wood_House-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9106057-Reviews-Dasoni-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d2238822-Reviews-Jeju_Bossam-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9018352-Reviews-Gopdeulrak-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9391932-Reviews-Nil_Mori_Dongdong-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9130550-Reviews-Chil_Pork_Ga-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9265401-Reviews-Seo_Village_Je-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d12948369-Reviews-ZZZ_Jeju_Heukdwaeji-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9416889-Reviews-Mongddang-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d8428728-Reviews-Deomjang_Jungmun-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d8532403-Reviews-Su_Udong-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9312395-Reviews-Sammu_Noodles-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d9085144-Reviews-Minkyoungs_Restaurant-Jeju_Jeju_Island.html,,,,,,,,,,
제주,,https://www.tripadvisor.co.kr/Restaurant_Review-g297885-d1599936-Reviews-Haenyeo-Jeju_Jeju_Island.html,,,,,,,,,,
